Local;Data;Mínima;Média;Máxima;Mínima;Média;Máxima;Precipitação (mm)
Juquitiba;01/01/2008;8.9;16.85;24.8;;0;;0.3
Juquitiba;26/05/2008;13.7;19.5;25.3;;0;;0
Juquitiba;27/05/2008;-40;-7.305;25.39;0;49.45;98.9;0.254
Juquitiba;28/05/2008;11;18.755;26.51;46.1;72.8;99.5;0
Juquitiba;29/05/2008;11.07;18.995;26.92;33.26;66.38;99.5;0
Juquitiba;30/05/2008;16.07;18.74;21.41;58.55;78.125;97.7;6.096
Juquitiba;31/05/2008;9.74;13.075;16.41;87.9;92.8;97.7;8.89
Juquitiba;01/06/2008;9.87;11.9;13.93;71.9;85.1;98.3;17.27
Juquitiba;02/06/2008;11.74;13.805;15.87;81;89.5;98;0.508
Juquitiba;03/06/2008;10.66;15.325;19.99;64.55;82.025;99.5;0
Juquitiba;04/06/2008;11.6;17.695;23.79;50.27;74.585;98.9;26.42
Juquitiba;05/06/2008;12.14;18.165;24.19;61.31;80.355;99.4;0.254
Juquitiba;06/06/2008;11.27;18.56;25.85;48.32;73.91;99.5;0
Juquitiba;07/06/2008;11.54;19.395;27.25;42.96;71.03;99.1;0
Juquitiba;08/06/2008;13.54;18.965;24.39;65.26;82.23;99.2;0
Juquitiba;09/06/2008;12.47;19.23;25.99;39.69;69.245;98.8;0
Juquitiba;10/06/2008;13.54;19.695;25.85;40.49;68.645;96.8;0
Juquitiba;11/06/2008;8.4;16.595;24.79;50.93;74.315;97.7;0
Juquitiba;12/06/2008;8.4;15.23;22.06;60.52;79.36;98.2;0
Juquitiba;13/06/2008;13.88;20.53;27.18;49.05;73.275;97.5;0
Juquitiba;14/06/2008;12.54;16.17;19.8;80.4;89.55;98.7;0
Juquitiba;15/06/2008;12.74;19.325;25.91;42.76;70.78;98.8;0
Juquitiba;16/06/2008;9.4;17.56;25.72;51.54;74.02;96.5;7.62
Juquitiba;17/06/2008;2.394;7.857;13.32;56.49;77.495;98.5;0
Juquitiba;18/06/2008;4.735;117.325;18.73;58.52;78.86;99.2;0
Juquitiba;19/06/2008;4.666;14.223;23.78;26.17;62.835;99.5;0
Juquitiba;20/06/2008;5.404;15.562;25.72;40.82;70.01;99.2;0
Juquitiba;21/06/2008;10.21;18.065;25.92;43.37;70.785;98.2;0.762
Juquitiba;22/06/2008;11.67;17.435;23.2;66.82;82.36;97.9;5.08
Juquitiba;23/06/2008;10.93;14.295;17.66;59.93;77.765;95.6;0
