Data;Nível (m);Volume (hm³);Volume (%);Q Jusante (m³/s);Q Natural (m³/s);Chuva (mm)
07/11/2023;636,87;56,60265835;63,72646214;28,66;20,29802006;0
06/11/2023;636,97;57,54170625;64,78369518;28,79;24,74636281;0,2
05/11/2023;637,03;58,10764933;65,42086579;31,73;32,66698701;0
04/11/2023;637,05;58,29671957;65,63373172;30,15;31,23223049;25,8
03/11/2023;637,07;58,48600206;65,84683661;31,81;25,30342201;0
02/11/2023;637,15;59,24526608;66,70165882;32,52;25,49810324;1,4
01/11/2023;637,24;60,10355476;67,66796858;32,79;24,24309774;11
31/10/2023;637,34;61,06238327;68,74747175;32,66;25,35727026;0,2
30/10/2023;637,43;61,93004402;69,72433311;30,06;23,40395028;13,4
29/10/2023;637,51;62,7050926;70,59692648;32,51;21,91100324;1,6
28/10/2023;637,63;63,87444634;71,9134508;32,37;24,26376079;8,2
27/10/2023;637,73;64,85520377;73,01764278;32,35;22,57688857;0
26/10/2023;637,84;65,94074041;74,23980109;32,05;25,62503326;0,6
25/10/2023;637,92;66,73468614;75,13366994;29,36;25,20347809;8,2
24/10/2023;637,98;67,33263824;75,80687811;32,23;23,96357328;1,4
23/10/2023;638,08;68,33402001;76,93429012;32,07;23,98064514;0
22/10/2023;638,17;69,24044023;77,95478909;29,86;25,0215999;0,2
21/10/2023;638,24;69,94885976;78,75236771;28,57;27,9569425;0,4
20/10/2023;638,27;70,25339276;79,09522812;26,96;29,89068;0,2
19/10/2023;638,27;70,25339276;79,09522812;22,18;30,76110486;0,2
18/10/2023;638,22;69,74614658;78,52414179;21,73;37,35305579;14
17/10/2023;638,11;68,63561232;77,27383974;21,67;27,86495182;23,8
16/10/2023;638,08;68,33402001;76,93429012;26,63;29,5604;0
15/10/2023;638,08;68,33402001;76,93429012;28,58;36,81669349;0,6
14/10/2023;638,03;67,83257657;76,36973684;26,63;38,50288939;1,4
13/10/2023;637,95;67,0333939;75,46997197;25,99;33,8316406;29,2
12/10/2023;637,9;66,53584476;74,90980311;22,62;26,73491327;0,2
11/10/2023;637,89;66,43651299;74,7979698;21,62;40,07365769;0,4
10/10/2023;637,75;65,0520491;73,23926234;21,72;57,14130118;2
09/10/2023;637,46;62,22026653;70,05108197;18,16;55,88507794;17,4
08/10/2023;637,14;59,15017058;66,59459496;17,25;39,38953573;53
07/10/2023;636,96;57,4475665;64,67770735;16,99;34,24645487;0
06/10/2023;636,83;56,22849232;63,30520494;17,8;45,23550866;4,4
05/10/2023;636,6;54,09287365;60,90080511;15,08;29,510856;66,2
04/10/2023;636,49;53,08085611;59,76141874;17,07;17,81767966;5,4
03/10/2023;636,51;53,26441553;59,96808028;13,39;17,12494912;0
02/10/2023;636,5;53,17261129;59,86472189;12,09;17,37235334;0,8
01/10/2023;636,47;52,89749266;59,55497784;12,06;16,86967065;10,4
30/09/2023;636,45;52,71432461;59,34875692;12,1;18,25196536;0,2
29/09/2023;636,42;52,43993761;59,03983658;15,61;16,08361901;1
28/09/2023;636,44;52,62281367;59,24572875;12,35;16,15986151;24,2
27/09/2023;636,43;52,53135136;59,14275533;12,11;12,63302413;0
26/09/2023;636,45;52,71432461;59,34875692;11,89;12,69909935;0,2
25/09/2023;636,47;52,89749266;59,55497784;11,9;12,33696787;0
24/09/2023;636,49;53,08085611;59,76141874;11,9;12,18470182;0
23/09/2023;636,52;53,35626891;60,07149399;11,89;14,75890258;1,6
22/09/2023;636,53;53,44817151;60,17496311;11,89;12,88522311;0,2
21/09/2023;636,55;53,63212461;60,38206788;11,9;14,31050883;0,2
