Data,Volume (hm³),Volume (%),Chuva (mm),Vazão natural (m³/s),Vazão a jusante (m³/s)
2000-01-01,196.02547,50.85189,,7.587,8.34
2000-01-02,198.19305,51.41419,,22.895,8.34
2000-01-03,200.45396,52.0007,,22.542,6.7
2000-01-04,203.08383,52.68293,,31.195,5.31
2000-01-05,206.31772,53.52185,,39.256,0.2
2000-01-06,208.82865,54.17322,,34.445,0.2
2000-01-07,211.87585,54.96371,,37.889,0.2
2000-01-08,213.1527,55.29494,,20.502,0.2
2000-01-09,214.22927,55.57422,,19.427,0.59
2000-01-10,214.94521,55.75995,,15.686,0.59
2000-01-11,215.05117,55.78744,,8.806,0.59
2000-01-12,215.177,55.82008,,8.763,0.59
2000-01-13,218.3016,56.63064,,41.927,0.59
2000-01-14,222.40753,57.69578,,50.019,1.42
2000-01-15,227.1393,58.92327,,58.176,0.59
2000-01-16,231.61474,60.08427,,41.499,0.59
2000-01-17,234.52968,60.84045,,32.301,1.11
2000-01-18,236.41958,61.33071,,26.094,1.42
2000-01-19,237.22122,61.53867,,11.695,1.03
2000-01-20,239.50687,62.1316,,14.337,4.04
2000-01-21,240.52352,62.39534,,14.657,0.32
2000-01-22,241.16182,62.56092,,14.243,2.37
2000-01-23,241.47836,62.64304,,10.377,1.54
2000-01-24,241.49312,62.64687,,7.185,1.53
2000-01-25,241.14193,62.55576,,2.451,0.64
2000-01-26,241.04978,62.53186,,3.292,0.2
2000-01-27,244.07374,63.31632,,23.64,0.2
2000-01-28,245.94316,63.80127,,22.783,0.2
2000-01-29,246.44762,63.93214,,10.315,0.2
2000-01-30,247.01204,64.07855,,11.671,0.2
2000-01-31,247.03852,64.08542,,5.554,0.2
2000-02-01,248.60671,64.49224,,19.316,0.59
2000-02-02,250.14003,64.89,,16.307,0.59
2000-02-03,251.3526,65.20456,,15.916,0.59
2000-02-04,252.38557,65.47253,,17.069,0.59
2000-02-05,253.4951,65.76036,,16.828,0.59
2000-02-06,254.86503,66.11574,,20.152,0.59
2000-02-07,255.68524,66.32851,,13.842,0.59
2000-02-08,256.24168,66.47286,,10.879,0.59
2000-02-09,256.30625,66.48961,,5.056,0.59
2000-02-10,256.69713,66.59101,,0.001,0.59
2000-02-11,262.22515,68.02506,,60.006,0.59
2000-02-12,267.38672,69.36405,,58.567,0.59
2000-02-13,271.05152,70.31475,,43.678,2.19
2000-02-14,273.91327,71.05713,,38.959,5.43
2000-02-15,275.26745,71.40842,,25.396,6.94
2000-02-16,276.88324,71.82758,,26.698,6.85
2000-02-17,281.01271,72.89883,,8.415,6.54
2000-02-18,288.81105,74.92183,,68.878,6.67
2000-02-19,292.05953,75.76454,,35.646,6.62
2000-02-20,293.64762,76.17651,,22.981,6.31
2000-02-21,294.28367,76.34151,,13.003,5.84
2000-02-22,295.19691,76.57842,,17.016,5.38
2000-02-23,295.9796,76.78146,,15.611,5.05
2000-02-24,297.24633,77.11007,,19.491,2.95
2000-02-25,298.84722,77.52536,,23.059,1.64
2000-02-26,299.54696,77.70688,,14.087,1.69
2000-02-27,300.09975,77.85029,,11.574,1.93
2000-02-28,300.75294,78.01973,,13.055,1.92
2000-02-29,301.12984,78.11751,,10.167,1.78
2000-03-01,301.64955,78.25233,,12.485,1.68
2000-03-02,301.74988,78.27835,,7.461,1.67
2000-03-03,301.71533,78.26939,,6.29,1.67
2000-03-04,301.5946,78.23807,,5.513,1.66
2000-03-05,301.13743,78.11948,,1.339,1.65
2000-03-06,300.9666,78.07516,,3.523,0.43
2000-03-07,300.81167,78.03497,,0.077,0.42
2000-03-08,303.22525,78.66109,,2.655,0.42
2000-03-09,305.82669,79.33594,,23.029,0.42
2000-03-10,306.33483,79.46776,,7.201,0.42
2000-03-11,306.61409,79.5402,,6.362,0.42
2000-03-12,306.65092,79.54976,,3.776,0.42
2000-03-13,306.69024,79.55996,,4.895,0.42
2000-03-14,306.31437,79.46245,,0.52,0.42
2000-03-15,306.08704,79.40348,,2.519,0.42
2000-03-16,305.09046,79.14495,,-6.284,0.41
2000-03-17,304.43538,78.97501,,-2.152,0.41
2000-03-18,304.55361,79.00569,,6.818,0.42
2000-03-19,306.66259,79.55278,,-21.901,0.42
2000-03-20,309.73408,80.34957,,12.53,0.42
2000-03-21,311.33682,80.76535,,16.28,0.42
2000-03-22,311.92003,80.91664,,8.17,0.42
2000-03-23,312.57283,81.08599,,10.636,0.42
2000-03-24,311.90721,80.91332,,-4.374,0.42
2000-03-25,313.58256,81.34793,,22.081,0.42
2000-03-26,314.91291,81.69304,,15.198,0.42
2000-03-27,315.07825,81.73593,,4.244,0.42
2000-03-28,315.50603,81.8469,,8.361,0.42
2000-03-29,316.31765,82.05745,,-4.626,0.42
2000-03-30,324.13684,84.08586,,5.43,0.42
2000-03-31,329.35197,85.43874,,48.74,0.42
2000-04-01,331.13189,85.90048,,18.231,0.42
2000-04-02,332.45207,86.24295,,11.32,0.42
2000-04-03,334.28532,86.71853,,14.798,0.26
2000-04-04,335.21616,86.96,,9.034,0.26
2000-04-05,335.34412,86.9932,,2.211,0.26
2000-04-06,335.70858,87.08774,,5.938,0.26
2000-04-07,335.73654,87.095,,1.844,0.26
2000-04-08,335.19131,86.95355,,-3.221,0.46
2000-04-09,334.5315,86.78239,,-4.607,0.46
2000-04-10,334.15946,86.68588,,-1.266,0.26
2000-04-11,334.32326,86.72837,,5.706,0.26
2000-04-12,333.9214,86.62412,,-0.411,0.26
2000-04-13,333.63123,86.54885,,0.942,0.26
2000-04-14,333.0599,86.40063,,-1.683,3.46
2000-04-15,332.52042,86.26069,,-1.104,0.46
2000-04-16,332.46634,86.24666,,4.014,0.46
2000-04-17,332.18886,86.17468,,1.728,0.46
2000-04-18,331.34937,85.9569,,-4.456,3.46
2000-04-19,331.35301,85.95784,,5.252,2.22
2000-04-20,331.07329,85.88528,,2.463,2.22
2000-04-21,330.794,85.81283,,2.848,2.22
2000-04-22,330.25963,85.6742,,-0.285,2.22
2000-04-23,329.33911,85.43541,,-5.574,2.22
2000-04-24,328.7853,85.29174,,-1.33,2.22
2000-04-25,328.54434,85.22923,,3.421,2.22
2000-04-26,327.95783,85.07708,,-0.828,2.22
2000-04-27,327.01581,84.83271,,-4.943,2.22
2000-04-28,326.38208,84.66831,,-1.095,2.22
2000-04-29,325.85372,84.53125,,0.715,2.22
2000-04-30,325.1366,84.34521,,-2.19,2.22
2000-05-01,324.47394,84.17331,,-1.14,2.22
2000-05-02,323.72636,83.97938,,-2.023,2.22
2000-05-03,322.71022,83.71577,,-5.341,2.22
2000-05-04,321.88015,83.50044,,-2.887,2.22
2000-05-05,322.21334,83.58688,,10.866,2.22
2000-05-06,321.6902,83.45117,,1.795,1.1
2000-05-07,321.71679,83.45806,,7.958,1.1
2000-05-08,321.2295,83.33165,,1.21,1.1
2000-05-09,320.69689,83.19349,,1.086,1.1
2000-05-10,320.04368,83.02404,,-0.46,1.1
2000-05-11,319.42755,82.8642,,-0.391,1.1
2000-05-12,318.46376,82.61418,,-5.615,1.1
2000-05-13,318.20092,82.546,,4.118,1.1
2000-05-14,317.38057,82.33318,,-2.265,1.1
2000-05-15,316.90226,82.20911,,1.684,1.1
2000-05-16,316.12383,82.00717,,-1.33,1.1
2000-05-17,315.39366,81.81775,,-0.601,1.09
2000-05-18,314.45019,81.573,,-3.25,1.1
2000-05-19,313.50579,81.32801,,-3.771,1.1
2000-05-20,312.90641,81.17252,,-1.627,1.1
2000-05-21,312.0114,80.94035,,-4.199,1.1
2000-05-22,311.62837,80.84098,,2.947,1.1
2000-05-23,310.99216,80.67594,,0.406,1.1
2000-05-24,310.06149,80.43451,,-3.132,1.1
2000-05-25,309.43015,80.27073,,0.183,1.1
2000-05-26,308.58788,80.05223,,-1.659,1.1
2000-05-27,307.75164,79.8353,,-1.779,1.1
2000-05-28,306.78462,79.58444,,-3.692,1.1
2000-05-29,305.99384,79.3793,,-1.943,1.1
2000-05-30,305.03648,79.13095,,-3.66,1.1
2000-05-31,304.28964,78.93721,,-0.964,1.1
2000-06-01,303.50674,78.73411,,-1.331,1.1
2000-06-02,302.67929,78.51946,,-2.117,1.1
2000-06-03,301.81677,78.29571,,-1.803,1.1
2000-06-04,301.33149,78.16982,,1.973,1.1
2000-06-05,300.47396,77.94736,,-2.315,1.1
2000-06-06,299.48611,77.6911,,-3.353,5.26
2000-06-07,297.99459,77.30418,,-9.533,7.26
2000-06-08,296.50624,76.91808,,-9.596,7.7
2000-06-09,295.66478,76.69979,,-1.649,8.26
2000-06-10,294.67039,76.44183,,-3.219,9.68
2000-06-11,293.54452,76.14976,,-4.891,9.68
2000-06-12,292.41863,75.85769,,-5.311,9.68
2000-06-13,291.46248,75.60965,,-3.207,9.67
2000-06-14,290.22198,75.28785,,-6.238,9.67
2000-06-15,289.10167,74.99722,,-4.926,9.67
2000-06-16,288.01741,74.71595,,-4.109,9.67
2000-06-17,286.90009,74.4261,,-3.812,9.67
2000-06-18,285.61708,74.09327,,-5.68,9.67
2000-06-19,284.50286,73.80422,,-4.446,9.67
2000-06-20,283.75672,73.61066,,-0.546,8.93
2000-06-21,282.72673,73.34347,,-3.411,8.87
2000-06-22,282.11452,73.18465,,-0.096,8.87
2000-06-23,281.33672,72.98288,,-0.052,8.87
2000-06-24,280.47615,72.75964,,-0.38,8.87
2000-06-25,279.6165,72.53663,,-0.67,8.87
2000-06-26,278.52821,72.25431,,-3.786,8.87
2000-06-27,277.45735,71.97652,,-3.674,8.28
2000-06-28,276.56822,71.74586,,-1.811,8.28
2000-06-29,275.91419,71.5762,,0.63,8.28
2000-06-30,274.74963,71.27409,,-5.029,8.67
2000-07-01,273.78018,71.0226,,-2.52,8.87
2000-07-02,272.56698,70.70788,,-6.282,8.87
2000-07-03,271.47169,70.42375,,-5.307,8.87
