Data,Volume (hm³),Volume (%),Chuva (mm),Vazão natural (m³/s),Vazão a jusante (m³/s)
2000-01-01,10.00182,73.1828,5.2,5.341,1.107
2000-01-02,10.33467,75.61828,45.0,16.727,0.151
2000-01-03,10.51223,76.91746,31.6,17.371,0.151
2000-01-04,10.62638,77.75268,23.3,11.844,0.151
2000-01-05,10.72494,78.47385,12.1,10.954,0.151
2000-01-06,10.75795,78.71533,2.0,7.089,0.151
2000-01-07,10.8907,79.68668,21.0,10.336,0.151
2000-01-08,10.87404,79.56478,0.3,5.993,0.386
2000-01-09,10.8574,79.44302,0.3,5.07,0.507
2000-01-10,10.84078,79.3214,0.0,4.678,0.507
2000-01-11,10.82417,79.19991,0.0,4.27,0.507
2000-01-12,10.82417,79.19991,5.7,4.982,0.41
2000-01-13,10.87404,79.56478,17.0,7.097,0.41
2000-01-14,10.95752,80.17563,36.4,10.609,0.41
2000-01-15,11.14284,81.53156,26.6,10.945,0.151
2000-01-16,11.69496,85.57145,66.3,28.82,0.151
2000-01-17,11.80067,86.34489,13.2,15.26,0.151
2000-01-18,11.80067,86.34489,0.0,8.8,0.151
2000-01-19,11.83606,86.60384,0.6,10.933,0.151
2000-01-20,12.468,91.2277,49.7,35.091,0.151
2000-01-21,12.48641,91.3624,0.2,9.343,0.151
2000-01-22,12.52328,91.63222,0.3,7.982,0.151
2000-01-23,12.52328,91.63222,0.0,6.707,0.151
2000-01-24,12.54175,91.76736,0.3,6.4,0.151
2000-01-25,12.54175,91.76736,0.0,5.704,0.151
2000-01-26,12.59728,92.17362,8.6,7.624,0.151
2000-01-27,13.1624,96.30863,48.8,28.971,0.151
2000-01-28,13.21991,96.72942,8.2,10.83,0.151
2000-01-29,13.21991,96.72942,0.0,7.264,0.151
2000-01-30,13.25835,97.01069,0.0,6.887,0.151
2000-01-31,13.2776,97.15154,0.0,6.665,0.151
2000-02-01,13.37416,97.85806,35.7,11.282,0.151
2000-02-02,13.45178,98.42595,16.3,13.398,0.151
2000-02-03,13.56881,99.28227,0.4,10.263,0.151
2000-02-04,13.56881,99.28227,0.0,6.697,0.151
2000-02-05,13.6276,99.71246,16.1,8.534,3.156
2000-02-06,13.68658,100.144,3.1,7.947,0.151
2000-02-07,13.74574,100.57689,3.4,7.666,0.151
2000-02-08,13.84476,101.30139,3.6,8.127,0.151
2000-02-09,13.86463,101.44674,0.0,7.211,0.151
2000-02-10,14.00426,102.46846,33.8,17.369,2.363
2000-02-11,13.98425,102.32204,27.0,15.084,1.843
2000-02-12,13.94429,102.02967,19.6,11.951,1.779
2000-02-13,13.92435,101.88371,10.6,11.028,0.974
2000-02-14,13.90442,101.7379,11.5,10.292,0.786
2000-02-15,13.90442,101.7379,0.7,8.467,0.786
2000-02-16,13.88451,101.59225,6.3,9.583,0.559
2000-02-17,14.47025,105.8781,97.3,62.889,15.637
2000-02-18,14.10463,103.20281,31.6,34.879,4.694
2000-02-19,13.96426,102.17578,0.3,18.307,1.621
2000-02-20,13.92435,101.88371,0.4,12.348,0.909
2000-02-21,13.90442,101.7379,0.0,11.028,0.726
2000-02-22,13.90442,101.7379,0.0,10.164,0.613
2000-02-23,13.90442,101.7379,0.0,9.468,0.559
2000-02-24,13.90442,101.7379,0.6,8.8,0.507
2000-02-25,13.88451,101.59225,0.7,8.47,0.507
2000-02-26,13.88451,101.59225,0.1,8.162,0.507
2000-02-27,13.88451,101.59225,0.0,7.854,0.507
2000-02-28,13.88451,101.59225,0.0,7.555,0.458
2000-02-29,13.88451,101.59225,0.0,7.555,0.458
2000-03-01,13.88451,101.59225,0.0,6.98,0.41
2000-03-02,13.88451,101.59225,1.6,6.98,0.41
2000-03-03,13.86463,101.44674,0.0,6.48,0.37
2000-03-04,13.86463,101.44674,0.1,6.44,0.32
2000-03-05,13.86463,101.44674,40.7,6.19,0.32
2000-03-06,13.86463,101.44674,57.7,6.19,0.32
2000-03-07,13.92435,101.88371,8.2,10.121,0.97
2000-03-08,14.10463,103.20281,0.0,38.697,4.92
2000-03-09,13.98425,102.32204,0.6,17.087,1.76
2000-03-10,13.92435,101.88371,0.2,9.467,0.85
2000-03-11,13.90442,101.7379,0.5,7.929,0.63
2000-03-12,13.88451,101.59225,0.1,7.33,0.51
2000-03-13,13.88451,101.59225,0.1,6.98,0.51
2000-03-14,13.88451,101.59225,0.3,6.71,0.41
2000-03-15,13.88451,101.59225,0.5,6.44,0.41
2000-03-16,13.88451,101.59225,0.3,6.19,0.37
2000-03-17,13.88451,101.59225,0.0,6.19,0.37
2000-03-18,13.88451,101.59225,0.4,6.19,0.37
2000-03-19,14.30692,104.68296,97.5,62.449,11.72
2000-03-20,14.06442,102.90861,10.5,31.353,3.62
2000-03-21,13.94429,102.02967,0.2,12.3,1.32
2000-03-22,13.92435,101.88371,0.0,9.929,0.85
2000-03-23,13.90442,101.7379,1.7,9.239,0.73
2000-03-24,13.90442,101.7379,0.1,8.47,0.61
2000-03-25,13.96426,102.17578,16.6,10.163,1.54
2000-03-26,13.96426,102.17578,4.9,12.02,1.86
2000-03-27,13.94429,102.02967,2.1,8.899,1.32
2000-03-28,13.90442,101.7379,0.3,7.698,0.73
2000-03-29,14.55243,106.47937,102.5,33.08,21.11
2000-03-30,14.12476,103.35014,66.7,91.25,5.5
2000-03-31,14.00426,102.46846,18.0,22.075,2.29
2000-04-01,13.94429,102.02967,0.0,13.766,1.18
2000-04-02,13.96426,102.17578,0.8,15.981,1.25
2000-04-03,14.00426,102.46846,18.8,18.483,2.2
2000-04-04,13.94429,102.02967,0.1,12.516,1.32
2000-04-05,13.92435,101.88371,0.0,11.029,0.97
2000-04-06,13.92435,101.88371,0.1,10.16,0.85
2000-04-07,13.90442,101.7379,0.3,9.929,0.67
2000-04-08,13.90442,101.7379,0.1,9.13,0.61
2000-04-09,13.88451,101.59225,0.0,8.57,0.56
2000-04-10,13.88451,101.59225,0.4,8.48,0.56
2000-04-11,13.90442,101.7379,0.0,8.39,0.56
2000-04-12,13.90442,101.7379,0.0,7.85,0.56
2000-04-13,13.92435,101.88371,0.1,7.791,0.46
2000-04-14,13.90442,101.7379,0.0,7.029,0.46
2000-04-15,13.88451,101.59225,0.2,7.03,0.46
2000-04-16,13.88451,101.59225,0.1,7.26,0.46
2000-04-17,13.88451,101.59225,0.1,6.98,0.46
2000-04-18,13.88451,101.59225,0.1,6.71,0.46
2000-04-19,13.88451,101.59225,0.0,6.71,0.46
2000-04-20,13.88451,101.59225,0.0,6.44,0.46
2000-04-21,13.88451,101.59225,0.0,6.19,0.46
2000-04-22,13.88451,101.59225,0.0,6.19,0.46
2000-04-23,13.92435,101.88371,8.8,7.441,0.79
2000-04-24,13.90442,101.7379,0.1,7.029,0.56
2000-04-25,13.88451,101.59225,0.0,5.96,0.46
2000-04-26,13.88451,101.59225,0.1,6.19,0.41
2000-04-27,13.88451,101.59225,0.0,5.94,0.41
2000-04-28,13.88451,101.59225,0.1,5.7,0.37
2000-04-29,13.88451,101.59225,0.0,5.7,0.37
2000-04-30,13.88451,101.59225,0.1,5.7,0.37
2000-05-01,13.88451,101.59225,0.0,5.48,0.37
2000-05-02,13.88451,101.59225,0.0,5.48,0.37
2000-05-03,13.88451,101.59225,0.2,5.48,0.37
2000-05-04,13.88451,101.59225,0.1,5.48,0.37
2000-05-05,13.88451,101.59225,0.1,5.48,0.46
2000-05-06,13.88451,101.59225,0.1,5.26,0.46
2000-05-07,13.88451,101.59225,11.4,5.48,0.46
2000-05-08,13.86463,101.44674,0.1,5.25,0.37
2000-05-09,13.86463,101.44674,0.7,5.26,0.37
2000-05-10,13.88451,101.59225,2.1,5.49,0.41
2000-05-11,13.92435,101.88371,17.1,6.161,0.97
2000-05-12,13.90442,101.7379,0.5,6.749,0.56
2000-05-13,13.88451,101.59225,0.1,5.47,0.41
2000-05-14,13.88451,101.59225,0.1,5.26,0.37
2000-05-15,13.88451,101.59225,0.0,4.87,0.32
2000-05-16,13.88451,101.59225,0.0,4.87,0.32
2000-05-17,13.88451,101.59225,0.0,4.37,0.32
2000-05-18,13.88451,101.59225,0.0,4.56,0.28
2000-05-19,13.90442,101.7379,10.8,4.99,0.61
2000-05-20,13.94429,102.02967,9.3,7.532,1.25
2000-05-21,13.92435,101.88371,0.8,6.479,0.61
2000-05-22,13.90442,101.7379,0.1,5.029,0.46
2000-05-23,13.88451,101.59225,0.0,4.64,0.32
2000-05-24,13.88451,101.59225,0.2,4.24,0.32
2000-05-25,13.86463,101.44674,0.0,4.04,0.28
2000-05-26,13.86463,101.44674,0.1,4.19,0.28
2000-05-27,13.86463,101.44674,0.0,4.19,0.61
2000-05-28,13.84476,101.30139,0.0,3.96,0.51
2000-05-29,13.82492,101.15619,0.2,4.14,0.51
2000-05-30,13.80509,101.01113,0.0,3.961,0.37
2000-05-31,13.78529,100.86623,0.2,3.801,0.37
2000-06-01,13.78529,100.86623,1.2,4.03,0.37
2000-06-02,13.7655,100.72149,0.2,3.801,0.37
2000-06-03,13.74574,100.57689,0.1,3.801,0.37
2000-06-04,13.726,100.43244,0.1,3.802,0.37
2000-06-05,13.726,100.43244,0.1,3.95,0.37
2000-06-06,13.70628,100.28814,0.1,3.722,0.51
2000-06-07,13.68658,100.144,0.0,3.722,0.51
2000-06-08,13.6669,100.0,0.0,3.722,0.51
2000-06-09,13.64724,99.85615,0.2,3.722,0.51
2000-06-10,13.6276,99.71246,0.0,3.723,0.51
2000-06-11,13.58839,99.42552,0.0,3.496,0.51
2000-06-12,13.56881,99.28227,0.0,3.723,0.51
2000-06-13,13.54925,99.13918,0.2,3.594,0.61
2000-06-14,13.5102,98.85344,0.0,3.258,0.61
2000-06-15,13.47123,98.5683,0.0,3.369,0.61
2000-06-16,13.41293,98.14171,0.2,2.955,0.61
2000-06-17,13.37416,97.85806,0.0,3.131,0.73
2000-06-18,13.33548,97.57501,0.9,3.132,0.91
2000-06-19,13.2776,97.15154,0.2,2.91,0.91
