Data,Nível,Volume (hm³),Volume (%),Chuva (mm),Vazão natural (m³/s),Vazão a jusante (m³/s),Reservatório
2000-01-01,872.92,10.001820634749922,73.18280248270827,5.2,0.7440753379612253,1.107,Represa Rib. do Campo
2000-01-02,873.13,10.334674823199979,75.61827930422315,45.0,4.003479032986767,0.151,Represa Rib. do Campo
2000-01-03,873.24,10.512232487550001,76.91745951890049,31.6,2.2060655596067393,0.151,Represa Rib. do Campo
2000-01-04,873.31,10.626381214899897,77.7526798325178,23.3,1.4721658258089816,0.151,Represa Rib. do Campo
2000-01-05,873.37,10.724943357999994,78.47385391813438,12.1,1.2917655451400054,0.151,Represa Rib. do Campo
2000-01-06,873.39,10.757945667299964,78.71533010243843,2.0,0.5329711724533597,0.151,Represa Rib. do Campo
2000-01-07,873.47,10.890698836500032,79.6866781514894,21.0,1.6874950138896794,0.151,Represa Rib. do Campo
2000-01-08,873.46,10.874039467150048,79.56478241058895,0.3,0.19318322511592442,0.386,Represa Rib. do Campo
2000-01-09,873.45,10.857398757600063,79.44302320247662,0.3,0.3143991950233143,0.507,Represa Rib. do Campo
2000-01-10,873.44,10.840776695550078,79.32140043715398,0.0,0.3146150225696225,0.507,Represa Rib. do Campo
2000-01-11,873.43,10.824173268699905,79.19991402462118,0.0,0.3148307077526284,0.507,Represa Rib. do Campo
2000-01-12,873.43,10.824173268699905,79.19991402462118,5.7,0.41,0.41,Represa Rib. do Campo
2000-01-13,873.46,10.874039467150048,79.56478241058895,17.0,0.9871550746544349,0.41,Represa Rib. do Campo
2000-01-14,873.51,10.957523157899972,80.17562824294194,36.4,1.3762464207167142,0.41,Represa Rib. do Campo
2000-01-15,873.62,11.142836916749996,81.53155939852887,26.6,2.295835171875272,0.151,Represa Rib. do Campo
2000-01-16,873.94,11.694964065550083,85.57144509049898,66.3,6.54136051851953,0.151,Represa Rib. do Campo
2000-01-17,874.0,11.800670276349987,86.34489194869273,13.2,1.3744515138877706,0.151,Represa Rib. do Campo
2000-01-18,874.0,11.800670276349987,86.34489194869273,0.0,0.151,0.151,Represa Rib. do Campo
2000-01-19,874.02,11.836060140749954,86.60383774974763,0.6,0.5606049120366556,0.151,Represa Rib. do Campo
2000-01-20,874.37,12.467998592999997,91.22769860679644,49.7,7.465102456597726,0.151,Represa Rib. do Campo
2000-01-21,874.38,12.48640749194998,91.36239556497823,0.2,0.36406596006923597,0.151,Represa Rib. do Campo
2000-01-22,874.4,12.523284676349943,91.63222400928011,0.3,0.5778192638884749,0.151,Represa Rib. do Campo
2000-01-23,874.4,12.523284676349943,91.63222400928011,0.0,0.151,0.151,Represa Rib. do Campo
2000-01-24,874.41,12.54175298639993,91.76735567539714,0.3,0.3647535885415053,0.151,Represa Rib. do Campo
2000-01-25,874.41,12.54175298639993,91.76735567539714,0.0,0.151,0.151,Represa Rib. do Campo
2000-01-26,874.44,12.597276935550088,92.17362152959556,8.6,0.7936383003490562,0.151,Represa Rib. do Campo
2000-01-27,874.74,13.162404497550003,96.30863057021793,48.8,6.69182826388791,0.151,Represa Rib. do Campo
2000-01-28,874.77,13.21991336699995,96.7294199832311,8.2,0.8166119149299426,0.151,Represa Rib. do Campo
2000-01-29,874.77,13.21991336699995,96.7294199832311,0.0,0.151,0.151,Represa Rib. do Campo
2000-01-30,874.79,13.258353948299916,97.01068772150884,0.0,0.5959141354162728,0.151,Represa Rib. do Campo
2000-01-31,874.8,13.277604676349897,97.15154429952378,0.0,0.3738093524303326,0.151,Represa Rib. do Campo
2000-02-01,874.85,13.374163182600032,97.8580578782994,35.7,1.2685753038210077,0.151,Represa Rib. do Campo
