Data,Volume (hm³),Volume (%),Chuva (mm),Vazão natural (m³/s),Vazão a jusante (m³/s)
2000-01-01,91.69406,81.04564,,9.367,
2000-01-02,93.05153,82.24547,,19.231,
2000-01-03,93.39274,82.54706,61.6,8.049,
2000-01-04,97.37024,86.06265,,50.146,
2000-01-05,98.42417,86.99419,44.5,16.167,
2000-01-06,99.13057,87.61855,8.8,12.331,
2000-01-07,99.84,88.2456,13.7,12.525,
2000-01-08,100.01783,88.40278,,6.377,
2000-01-09,100.01783,88.40278,,4.01,
2000-01-10,100.19586,88.56013,12.9,6.23,
2000-01-11,100.01783,88.40278,,2.4,
2000-01-12,99.66236,88.08859,,0.386,
2000-01-13,102.70825,90.78076,,39.649,
2000-01-14,103.97856,91.90355,,19.293,
2000-01-15,104.89173,92.71067,,15.219,
2000-01-16,105.44196,93.197,,10.718,
2000-01-17,106.17832,93.84785,,12.673,
2000-01-18,106.36289,94.01099,132.9,6.646,
2000-01-19,106.36289,94.01099,0.0,4.37,
2000-01-20,107.28871,94.82929,12.0,14.985,
2000-01-21,107.84655,95.32235,0.0,10.836,
2000-01-22,108.03289,95.48705,,6.677,
2000-01-23,108.03289,95.48705,,4.07,
2000-01-24,107.84655,95.32235,,2.033,
2000-01-25,107.66041,95.15782,,2.436,
2000-01-26,108.03289,95.48705,48.3,8.431,
2000-01-27,110.85163,97.97845,19.7,36.804,
2000-01-28,111.61083,98.64948,1.0,13.187,
2000-01-29,111.61083,98.64948,0.0,4.36,
2000-01-30,111.23083,98.31362,0.0,-0.558,
2000-01-31,110.28432,97.47703,0.0,-6.735,
2000-02-01,109.7188,96.97718,12.0,-2.17,
2000-02-02,109.34277,96.64482,5.8,-0.178,
2000-02-03,108.78021,96.14759,0.0,-2.063,
2000-02-04,107.84655,95.32235,0.0,-6.354,
2000-02-05,107.66041,95.15782,0.0,2.457,
2000-02-06,107.66041,95.15782,0.0,4.193,
2000-02-07,107.10315,94.66529,18.1,-2.25,
2000-02-08,106.54766,94.1743,5.3,-2.104,
2000-02-09,105.80975,93.52208,0.0,-4.336,
2000-02-10,106.54766,94.1743,14.5,12.696,
2000-02-11,107.28871,94.82929,11.7,13.0,
2000-02-12,107.84655,95.32235,0.0,10.627,
2000-02-13,108.21942,95.65192,0.0,8.248,
2000-02-14,108.96753,96.31315,48.6,12.752,
2000-02-15,108.78021,96.14759,0.0,2.291,
2000-02-16,108.21942,95.65192,1.6,-2.3,
2000-02-17,110.66233,97.81114,55.0,32.565,
2000-02-18,113.52278,100.3394,7.2,37.42,
2000-02-19,114.10027,100.84983,0.0,11.228,
2000-02-20,113.13879,100.0,0.0,-6.911,
2000-02-21,112.18231,99.1546,0.3,-7.149,
2000-02-22,111.42073,98.48146,0.0,-4.382,
2000-02-23,111.42073,98.48146,14.5,4.348,
2000-02-24,111.23083,98.31362,9.2,2.032,
2000-02-25,111.23083,98.31362,0.6,4.509,
2000-02-26,110.66233,97.81114,0.0,-1.999,
2000-02-27,110.09562,97.31023,0.0,-2.477,
2000-02-28,109.53069,96.81091,0.1,-2.174,
2000-02-29,108.96753,96.31315,0.0,-2.156,
2000-03-01,108.59308,95.98219,0.0,-0.529,
2000-03-02,107.84655,95.32235,0.0,-4.212,
