Data,Nível,Volume (hm³),Volume (%),Chuva (mm),Vazão natural (m³/s),Vazão a jusante (m³/s),Reservatório
2000-01-01,637.14,59.15017057908699,66.59459495518819,72.3,16.968092803417672,19.17,Represa Cachoeira do França
2000-01-02,637.19,59.62618667539209,67.13052069834735,10.8,24.67944555908683,19.17,Represa Cachoeira do França
2000-01-03,637.37,61.35110435495153,69.07253021542417,16.7,40.38432499490092,20.42,Represa Cachoeira do França
2000-01-04,637.78,65.34775346470997,73.57218298120128,25.0,66.49751284442635,20.24,Represa Cachoeira do França
2000-01-05,638.21,69.64488241961226,78.41013288769074,34.0,69.98528882988762,20.25,Represa Cachoeira do França
2000-01-06,638.39,71.47712080506608,80.47297010263166,13.0,41.3464627946044,20.14,Represa Cachoeira do França
2000-01-07,638.45,72.09237010963261,81.16565243698415,0.0,27.300941025075605,20.18,Represa Cachoeira do França
2000-01-08,638.54,73.01952013000846,82.20949017177259,7.5,29.58090301360935,18.85,Represa Cachoeira do França
2000-01-09,638.57,73.32971832668409,82.5587287802365,36.0,22.490256905967918,18.9,Represa Cachoeira do França
2000-01-10,638.62,73.84799938928336,83.14223880394125,16.2,26.14862340971379,20.15,Represa Cachoeira do França
2000-01-11,638.68,74.47206665528938,83.8448488961454,6.0,27.363000763958595,20.14,Represa Cachoeira do França
2000-01-12,638.68,74.47206665528938,83.8448488961454,1.2,20.13,20.13,Represa Cachoeira do França
2000-01-13,638.67,74.36789347045124,83.72756485483882,0.1,19.05429184215109,20.26,Represa Cachoeira do França
2000-01-14,638.66,74.26378517225385,83.61035386656856,0.0,18.825042844937634,20.03,Represa Cachoeira do França
2000-01-15,638.65,74.15974168945104,83.49321585112166,4.0,17.675793023115645,18.88,Represa Cachoeira do França
2000-01-16,638.74,75.09847249323502,84.55009188440997,3.2,29.624939858610915,18.76,Represa Cachoeira do França
2000-01-17,638.75,75.20310193859041,84.66788960951564,42.4,21.270988950872518,20.06,Represa Cachoeira do França
2000-01-18,638.71,74.78497626259923,84.19714016348037,2.9,15.130582453805815,19.97,Represa Cachoeira do França
2000-01-19,638.69,74.57630479941145,83.96220607227404,0.0,17.61482102791917,20.03,Represa Cachoeira do França
2000-01-20,638.7,74.68060797732323,84.0796364671076,3.2,21.067212707312365,19.86,Represa Cachoeira do França
2000-01-21,638.7,74.68060797732323,84.0796364671076,0.0,18.91,18.91,Represa Cachoeira do França
2000-01-22,638.67,74.36789347045124,83.72756485483882,0.0,13.980619133425947,17.6,Represa Cachoeira do França
2000-01-23,638.63,73.95184887060896,83.25915840159377,0.0,12.794668983306941,17.61,Represa Cachoeira do França
2000-01-24,638.58,73.43324593733996,82.6752859977527,0.0,12.927651235312569,18.93,Represa Cachoeira do França
2000-01-25,638.55,73.12285549612716,82.32583094955649,0.0,15.337518041518482,18.93,Represa Cachoeira do França
2000-01-26,638.69,74.57630479941145,83.96220607227404,11.4,35.7923298991237,18.97,Represa Cachoeira do França
2000-01-27,638.85,76.25300952699035,85.84993473137015,35.7,38.33630471734847,18.93,Represa Cachoeira do França
2000-01-28,638.95,77.30953777069226,87.03943376001574,0.6,31.138336153957233,18.91,Represa Cachoeira do França
2000-01-29,638.95,77.30953777069226,87.03943376001574,0.0,18.29,18.29,Represa Cachoeira do França
2000-01-30,638.92,76.99187976540998,86.68179647868682,0.0,15.143402716640246,18.82,Represa Cachoeira do França
2000-01-31,638.95,77.30953777069226,87.03943376001574,0.0,23.656597283359755,19.98,Represa Cachoeira do França
2000-02-01,639.02,78.05308610806242,87.87656237472639,32.8,28.56588353437682,19.96,Represa Cachoeira do França
