Data,Volume (hm³),Volume (%),Chuva (mm),Vazão natural (m³/s),Vazão a jusante (m³/s)
2000-01-01,365.50555,47.11254,30.9,70.885,10.16
2000-01-02,370.64646,47.77519,29.1,94.864,10.18
2000-01-03,377.00187,48.59438,35.175,108.208,7.29
2000-01-04,387.88206,49.9968,18.725,162.936,6.34
2000-01-05,403.00251,51.94578,25.9,211.604,6.33
2000-01-06,405.063,52.21137,7.825,59.722,5.4
2000-01-07,431.83726,55.66249,21.45,346.454,5.43
2000-01-08,439.3629,56.63253,6.2,124.904,6.29
2000-01-09,443.01784,57.10364,0.0,79.678,6.48
2000-01-10,444.51752,57.29694,0.375,53.797,6.47
2000-01-11,445.74418,57.45505,0.0,53.712,6.47
2000-01-12,445.23094,57.3889,0.85,33.624,6.46
2000-01-13,445.8165,57.46437,7.275,46.279,6.46
2000-01-14,447.47683,57.67839,12.85,58.759,6.48
2000-01-15,448.21431,57.77345,0.7,48.334,6.49
2000-01-16,448.20527,57.77228,1.45,39.077,6.49
2000-01-17,448.00871,57.74694,4.05,32.896,6.5
2000-01-18,448.24847,57.77785,4.575,42.36,6.5
2000-01-19,448.96683,57.87044,4.525,33.771,6.51
2000-01-20,448.28411,57.78244,4.9,30.289,6.49
2000-01-21,445.98042,57.4855,0.0,12.391,6.49
2000-01-22,444.64889,57.31387,0.0,24.172,6.5
2000-01-23,443.41804,57.15522,0.0,24.186,6.5
2000-01-24,442.52101,57.0396,0.0,26.643,6.5
2000-01-25,441.54838,56.91423,0.0,28.016,6.49
2000-01-26,440.49169,56.77802,9.175,27.012,6.49
2000-01-27,441.64786,56.92705,17.775,51.572,6.5
2000-01-28,442.97388,57.09797,0.0,54.584,6.51
2000-01-29,442.60821,57.05084,0.0,35.798,6.51
2000-01-30,441.69963,56.93372,0.0,28.283,6.51
2000-01-31,441.19446,56.86861,0.0,32.225,6.5
2000-02-01,441.74711,56.93984,27.45,45.97,6.51
2000-02-02,445.41573,57.41272,6.625,81.486,6.65
2000-02-03,445.27627,57.39474,0.0,37.989,6.66
2000-02-04,446.65683,57.57269,0.0,55.771,6.67
2000-02-05,448.24685,57.77764,23.275,58.626,6.68
2000-02-06,448.25999,57.77933,0.15,37.413,6.67
2000-02-07,447.83977,57.72517,0.0,32.588,6.67
2000-02-08,447.27314,57.65213,0.25,32.63,6.67
2000-02-09,446.76344,57.58643,4.65,32.558,6.66
2000-02-10,448.31842,57.78687,22.575,56.561,6.66
2000-02-11,453.2438,58.42173,28.425,95.265,6.69
2000-02-12,460.41681,59.34631,28.7,121.173,5.72
2000-02-13,469.2103,60.47976,17.525,138.071,6.74
2000-02-14,479.0184,61.744,11.625,147.957,6.78
2000-02-15,483.414,62.31058,0.375,91.311,6.8
2000-02-16,486.42832,62.69911,6.525,75.54,6.81
2000-02-17,488.00649,62.90253,17.25,57.699,6.84
2000-02-18,495.63865,63.8863,17.425,124.316,6.88
2000-02-19,499.82036,64.42531,0.3,87.106,6.88
2000-02-20,500.10712,64.46227,0.0,42.585,6.88
2000-02-21,501.5441,64.64749,0.0,54.578,6.88
2000-02-22,502.13882,64.72415,0.0,48.502,6.85
2000-02-23,502.66928,64.79252,1.375,46.505,6.87
2000-02-24,502.8683,64.81818,4.85,42.944,6.89
2000-02-25,503.92367,64.95421,4.925,51.491,6.89
2000-02-26,504.18362,64.98772,5.7,43.257,6.71
2000-02-27,504.4611,65.02348,0.0,42.383,6.69
2000-02-28,504.82733,65.07069,2.8,41.54,6.7
2000-02-29,505.79574,65.19551,5.1,51.368,6.71
2000-03-01,506.38101,65.27095,10.625,46.185,6.71
2000-03-02,506.64932,65.30554,4.7,43.492,6.71
2000-03-03,507.64408,65.43376,0.125,51.575,6.71
2000-03-04,508.14778,65.49869,2.55,46.308,6.71
2000-03-05,508.81044,65.5841,0.0,45.955,6.72
2000-03-06,509.18864,65.63285,0.0,41.618,6.73
2000-03-07,507.98287,65.47743,0.0,24.379,6.73
2000-03-08,509.30446,65.64778,14.975,50.422,6.72
2000-03-09,510.79296,65.83964,0.2,55.405,6.74
2000-03-10,511.58083,65.94119,0.0,48.596,6.75
2000-03-11,511.75887,65.96414,0.525,41.285,6.39
2000-03-12,512.36698,66.04253,3.0,45.63,6.33
2000-03-13,513.97471,66.24976,0.0,55.662,6.33
2000-03-14,513.92862,66.24382,0.0,39.396,6.33
2000-03-15,513.30094,66.16291,5.8,31.921,6.33
2000-03-16,513.07042,66.1332,0.0,36.37,6.33
2000-03-17,513.3741,66.17234,3.65,42.41,6.34
2000-03-18,513.39523,66.17507,3.8,39.606,6.34
2000-03-19,513.7337,66.21869,10.15,41.783,6.34
2000-03-20,513.8395,66.23233,0.575,38.881,6.34
2000-03-21,513.73768,66.21921,0.0,39.079,6.43
2000-03-22,514.49425,66.31673,8.0,48.681,6.45
2000-03-23,515.94191,66.50332,5.4,56.85,6.45
2000-03-24,516.52389,66.57834,16.775,46.335,6.48
2000-03-25,516.02977,66.51465,6.725,34.383,6.46
2000-03-26,515.56431,66.45465,0.0,33.539,6.45
2000-03-27,515.9528,66.50473,10.975,41.664,6.46
2000-03-28,515.94969,66.50433,3.65,39.953,6.47
2000-03-29,520.58291,67.10153,20.05,92.634,6.47
2000-03-30,520.48951,67.0895,0.55,37.043,6.33
2000-03-31,526.57292,67.87363,3.925,107.955,6.17
2000-04-01,528.8937,68.17277,0.0,67.677,6.17
2000-04-02,531.01077,68.44565,0.45,62.716,6.17
2000-04-03,532.80035,68.67633,0.0,56.517,6.16
2000-04-04,533.66583,68.78788,0.0,47.953,6.16
2000-04-05,533.04029,68.70725,0.0,31.263,6.16
2000-04-06,532.38194,68.62239,0.0,31.746,6.15
2000-04-07,531.2935,68.4821,0.0,26.671,6.14
2000-04-08,530.37593,68.36383,0.0,28.754,6.14
2000-04-09,530.19134,68.34003,0.0,36.738,6.13
2000-04-10,530.02216,68.31823,0.0,35.372,6.13
2000-04-11,529.49032,68.24967,0.0,33.546,6.13
2000-04-12,528.56704,68.13067,0.0,29.002,6.11
2000-04-13,528.1058,68.07121,0.0,34.405,6.12
2000-04-14,527.15691,67.9489,0.0,28.73,6.3
2000-04-15,525.52976,67.73917,0.0,20.7,6.32
2000-04-16,524.90063,67.65808,0.0,31.912,6.31
2000-04-17,523.70318,67.50373,0.0,23.466,6.31
2000-04-18,521.95598,67.27852,0.0,20.444,6.31
2000-04-19,520.24115,67.05748,5.0,20.111,6.31
2000-04-20,519.88503,67.01158,3.225,36.078,6.31
2000-04-21,517.64275,66.72256,0.0,14.146,6.3
2000-04-22,517.00895,66.64086,0.0,30.102,6.3
2000-04-23,515.89098,66.49676,0.0,23.91,6.3
2000-04-24,515.08725,66.39316,0.0,25.911,6.3
2000-04-25,513.58552,66.19959,0.0,23.393,6.29
2000-04-26,512.36121,66.04178,0.0,26.521,6.29
2000-04-27,510.54404,65.80756,0.0,18.464,6.29
2000-04-28,509.21413,65.63613,0.0,23.625,6.28
2000-04-29,507.49491,65.41453,0.0,19.756,6.28
2000-04-30,505.8852,65.20704,0.0,19.768,6.27
2000-05-01,504.94683,65.08609,0.0,26.449,6.27
2000-05-02,503.86379,64.94649,0.0,25.698,6.27
2000-05-03,502.17107,64.72831,3.475,20.987,6.25
2000-05-04,499.79209,64.42166,0.0,12.704,6.25
2000-05-05,497.70585,64.15275,0.65,18.179,8.53
2000-05-06,496.14205,63.95118,0.0,24.485,9.29
2000-05-07,494.84145,63.78354,1.3,26.272,9.3
2000-05-08,493.29363,63.58403,0.0,21.453,9.3
2000-05-09,491.76087,63.38646,4.325,23.46,9.3
2000-05-10,490.20999,63.18656,0.0,23.35,9.3
2000-05-11,488.29094,62.9392,0.0,19.053,9.29
2000-05-12,486.30304,62.68296,0.0,18.34,9.3
2000-05-13,484.09291,62.39809,0.0,15.342,7.78
2000-05-14,482.90573,62.24506,0.0,24.009,6.27
2000-05-15,481.45338,62.05786,0.0,19.429,6.03
2000-05-16,479.95543,61.86478,0.0,23.186,6.03
2000-05-17,478.40711,61.6652,0.0,21.818,5.79
2000-05-18,476.8897,61.46961,0.0,19.608,6.27
2000-05-19,474.81589,61.20231,0.3,17.26,6.26
2000-05-20,473.33489,61.01141,0.0,21.039,6.25
2000-05-21,471.82901,60.81731,0.0,19.225,6.25
2000-05-22,470.50579,60.64675,0.0,20.436,6.25
2000-05-23,468.77189,60.42325,0.0,19.246,6.25
2000-05-24,467.23066,60.22459,0.0,19.989,6.25
2000-05-25,465.54798,60.0077,0.0,19.604,6.25
2000-05-26,463.68321,59.76734,0.0,17.645,6.25
2000-05-27,461.7858,59.52277,0.0,17.354,6.25
2000-05-28,460.16608,59.31399,0.0,18.156,6.25
2000-05-29,458.53232,59.10341,0.0,17.328,6.25
2000-05-30,456.62662,58.85777,0.0,16.995,6.25
2000-05-31,454.78206,58.62001,0.0,17.212,6.25
2000-06-01,452.93257,58.38161,1.325,16.744,6.25
2000-06-02,451.06029,58.14028,0.0,14.858,6.26
2000-06-03,449.31839,57.91576,0.0,17.652,6.26
2000-06-04,447.48232,57.67909,0.0,16.788,6.26
2000-06-05,445.55755,57.431,0.0,15.343,7.19
2000-06-06,444.10599,57.2439,0.0,21.223,6.25
2000-06-07,441.78417,56.94462,0.0,11.682,6.25
2000-06-08,440.29945,56.75324,0.0,21.199,6.24
2000-06-09,438.08927,56.46836,0.0,13.312,6.24
2000-06-10,436.49699,56.26312,0.0,20.238,6.24
2000-06-11,434.87476,56.05402,0.0,19.535,6.24
2000-06-12,433.4544,55.87094,0.0,20.779,6.24
2000-06-13,431.53228,55.62318,0.0,17.475,6.23
2000-06-14,429.61993,55.37669,0.0,17.495,6.23
2000-06-15,427.61471,55.11822,0.0,16.146,6.23
2000-06-16,425.56597,54.85414,0.0,14.9,6.22
2000-06-17,423.76242,54.62167,0.0,18.819,6.21
2000-06-18,422.11877,54.40981,0.0,19.19,6.19
2000-06-19,420.67261,54.22341,0.0,19.372,6.18
2000-06-20,418.99117,54.00667,0.0,19.077,6.17
2000-06-21,417.61467,53.82925,7.45,21.585,6.21
2000-06-22,416.36228,53.66782,0.0,22.177,6.14
2000-06-23,415.9333,53.61252,0.0,17.958,6.13
2000-06-24,414.06603,53.37184,0.0,14.41,6.12
2000-06-25,412.67547,53.1926,0.0,19.902,6.12
2000-06-26,410.96456,52.97207,0.0,15.293,6.11
2000-06-27,409.16858,52.74057,0.0,17.224,6.1
2000-06-28,406.89788,52.44788,0.0,10.716,6.08
2000-06-29,404.9399,52.19551,0.0,15.443,6.07
2000-06-30,402.94302,51.93812,0.0,14.054,6.05
2000-07-01,401.08096,51.6981,0.6,15.029,6.03
2000-07-02,399.29683,51.46813,0.0,15.171,5.13
2000-07-03,397.34823,51.21696,0.0,11.622,5.98
2000-07-04,395.33703,50.95773,0.3,13.514,5.97
2000-07-05,393.50829,50.72201,0.0,14.989,5.98
2000-07-06,391.79883,50.50166,0.0,17.426,5.99
2000-07-07,389.74789,50.2373,0.0,13.141,6.01
2000-07-08,387.7166,49.97548,0.0,14.534,6.0
2000-07-09,385.30529,49.66467,0.0,9.314,5.97
2000-07-10,383.04711,49.37359,0.0,10.558,5.97
2000-07-11,381.26669,49.1441,0.0,19.192,6.31
2000-07-12,379.69899,48.94203,0.0,20.594,6.4
2000-07-13,377.86187,48.70523,0.0,17.008,6.4
2000-07-14,376.17773,48.48815,0.0,18.418,6.42
2000-07-15,374.42979,48.26285,0.0,17.732,6.43
2000-07-16,374.56949,48.28085,43.4,36.975,6.44
2000-07-17,374.25826,48.24074,0.1,31.853,6.46
2000-07-18,373.13995,48.09659,0.0,25.494,6.48
2000-07-19,371.28116,47.857,0.0,16.161,6.49
2000-07-20,369.79983,47.66606,0.0,20.04,6.5
2000-07-21,368.03623,47.43874,0.0,17.654,6.5
2000-07-22,366.26746,47.21075,0.0,18.725,6.51
2000-07-23,364.95954,47.04216,12.575,22.555,6.52
2000-07-24,364.61003,46.99711,15.475,29.131,6.53
2000-07-25,364.16677,46.93998,0.0,33.269,6.55
2000-07-26,363.01739,46.79182,0.0,25.025,6.57
2000-07-27,361.78081,46.63243,0.0,22.861,6.58
2000-07-28,360.29988,46.44155,0.0,21.058,6.58
2000-07-29,358.65203,46.22914,0.0,20.498,6.59
2000-07-30,357.18265,46.03974,0.0,21.52,6.59
2000-07-31,355.67693,45.84566,0.0,18.809,6.61
2000-08-01,353.52545,45.56834,0.0,14.074,6.6
2000-08-02,351.45512,45.30148,0.0,15.043,6.6
2000-08-03,349.13625,45.00259,0.0,12.469,6.61
2000-08-04,346.84859,44.70772,2.15,11.653,5.8
2000-08-05,345.198,44.49496,0.0,18.739,6.36
2000-08-06,342.89132,44.19764,0.0,12.1,6.63
2000-08-07,341.59578,44.03064,0.0,23.063,6.63
2000-08-08,339.46265,43.75569,1.8,16.442,6.64
2000-08-09,337.39265,43.48887,0.0,17.334,6.76
2000-08-10,335.33716,43.22393,0.0,16.666,6.74
2000-08-11,333.18142,42.94606,3.35,12.207,6.71
2000-08-12,331.12756,42.68132,0.45,14.657,6.65
2000-08-13,329.13242,42.42416,0.0,14.533,6.66
2000-08-14,327.20153,42.17527,0.0,14.369,6.66
2000-08-15,325.37582,41.93994,0.0,19.139,6.67
2000-08-16,323.84766,41.74297,6.175,22.551,6.67
2000-08-17,322.37474,41.55311,0.0,21.462,6.68
2000-08-18,320.84617,41.35608,6.375,22.198,6.68
2000-08-19,318.95165,41.11189,0.0,17.637,6.69
2000-08-20,317.35552,40.90615,0.0,20.253,6.69
2000-08-21,315.53583,40.6716,0.0,16.511,6.69
2000-08-22,313.40776,40.3973,0.0,14.866,6.67
2000-08-23,311.00102,40.08707,0.0,11.662,6.68
2000-08-24,308.70884,39.79162,0.0,13.369,6.67
2000-08-25,306.44144,39.49936,0.0,14.02,6.67
2000-08-26,304.12074,39.20023,0.0,13.642,6.67
2000-08-27,302.18261,38.95041,0.0,17.68,6.67
2000-08-28,301.75218,38.89493,24.8,32.01,6.68
2000-08-29,304.82741,39.29132,24.925,72.939,6.7
2000-08-30,304.05889,39.19226,0.0,29.38,6.71
2000-08-31,302.51189,38.99285,0.0,20.976,6.71
2000-09-01,301.22259,38.82667,1.45,23.661,6.72
2000-09-02,303.62044,39.13574,39.25,66.493,6.73
2000-09-03,304.81258,39.2894,7.025,51.275,6.72
