Data,Volume (hm³),Volume (%),Chuva (mm),Vazão natural (m³/s),Vazão a jusante (m³/s)
2000-01-01,2.64579,18.82783,0.0,3.986,0.537
2000-01-02,2.64579,18.82783,33.2,2.219,0.537
2000-01-03,2.67305,19.02177,3.6,2.439,0.838
2000-01-04,2.7692,19.70603,17.9,3.296,0.838
2000-01-05,2.99344,21.30172,30.9,4.894,0.622
2000-01-06,3.26771,23.25351,16.7,5.696,0.048
2000-01-07,3.35612,23.88261,0.5,3.385,0.289
2000-01-08,3.41553,24.30539,0.0,2.947,0.806
2000-01-09,3.46034,24.62425,2.6,2.82,0.806
2000-01-10,3.44538,24.5178,0.1,2.12,0.904
2000-01-11,3.44538,24.5178,4.9,2.197,1.11
2000-01-12,3.38578,24.09366,0.0,1.829,1.38
2000-01-13,3.32655,23.67223,1.9,1.868,1.22
2000-01-14,3.29709,23.46253,0.0,1.983,1.08
2000-01-15,3.25306,23.14925,3.1,2.084,1.08
2000-01-16,3.23844,23.04516,0.0,2.109,1.22
2000-01-17,3.22383,22.94124,20.3,2.236,1.22
2000-01-18,3.20925,22.8375,0.0,2.088,0.774
2000-01-19,3.18017,22.63051,0.0,1.903,0.774
2000-01-20,3.16566,22.52727,14.0,1.983,1.18
2000-01-21,3.13672,22.32131,0.1,1.909,0.904
2000-01-22,3.10787,22.11603,0.0,1.876,1.08
2000-01-23,3.06478,21.80938,0.0,1.725,1.08
2000-01-24,2.99344,21.30172,0.1,1.37,1.08
2000-01-25,2.9227,20.79834,0.0,1.383,1.18
2000-01-26,2.9227,20.79834,29.6,2.232,1.18
2000-01-27,3.15118,22.42421,12.4,4.87,0.01
2000-01-28,3.1947,22.73392,2.1,2.701,0.681
2000-01-29,3.15118,22.42421,0.0,1.906,0.904
2000-01-30,3.09348,22.01364,0.0,1.268,1.26
2000-01-31,3.06478,21.80938,0.1,1.782,1.26
2000-02-01,3.13672,22.32131,18.7,2.687,0.904
2000-02-02,3.23844,23.04516,14.9,3.388,0.537
2000-02-03,3.23844,23.04516,0.0,2.314,0.838
2000-02-04,3.1947,22.73392,0.0,1.671,1.11
2000-02-05,3.38578,24.09366,56.8,4.335,1.11
2000-02-06,3.67226,26.1323,0.8,5.658,0.065
2000-02-07,3.74906,26.67885,0.0,2.899,0.537
2000-02-08,3.79543,27.00879,1.5,2.99,0.537
2000-02-09,3.79543,27.00879,0.2,2.3,0.838
2000-02-10,3.9201,27.89596,21.0,3.787,0.048
2000-02-11,4.07803,29.01986,22.2,4.133,0.483
2000-02-12,4.27062,30.39037,20.5,4.736,0.048
2000-02-13,4.48302,31.90178,14.3,4.845,0.048
2000-02-14,4.69929,33.4408,11.4,4.655,0.027
2000-02-15,4.80041,34.16037,0.1,3.506,0.593
2000-02-16,4.85127,34.52234,0.4,2.868,0.593
2000-02-17,4.98791,35.4947,19.3,3.844,0.027
2000-02-18,5.23051,37.22108,8.5,4.96,0.027
2000-02-19,5.30064,37.72009,0.0,3.203,0.537
2000-02-20,5.37112,38.22165,0.0,3.252,0.712
2000-02-21,5.42422,38.59949,1.5,2.911,0.712
2000-02-22,5.42422,38.59949,0.0,2.69,0.712
2000-02-23,5.53101,39.35946,12.6,3.203,0.048
2000-02-24,5.65662,40.25329,16.3,3.655,0.593
2000-02-25,5.71078,40.63873,0.1,3.071,0.537
2000-02-26,5.747,40.89648,0.0,2.998,0.774
2000-02-27,5.72888,40.76753,0.3,2.114,0.904
2000-02-28,5.747,40.89648,2.1,2.638,0.904
2000-02-29,5.76515,41.02559,0.0,2.431,0.712
2000-03-01,5.76515,41.02559,0.2,2.243,0.712
2000-03-02,5.76515,41.02559,0.7,2.401,0.838
2000-03-03,5.747,40.89648,0.0,2.617,1.04
2000-03-04,5.72888,40.76753,8.3,2.289,1.18
2000-03-05,5.69271,40.5101,0.4,2.035,1.18
2000-03-06,5.65662,40.25329,1.5,2.097,0.972
2000-03-07,5.63861,40.12513,0.0,2.185,0.838
2000-03-08,5.72888,40.76753,11.6,3.353,0.838
2000-03-09,5.72888,40.76753,0.1,2.354,0.838
2000-03-10,5.71078,40.63873,0.0,2.181,0.972
2000-03-11,5.69271,40.5101,0.0,2.173,1.11
2000-03-12,5.65662,40.25329,1.2,1.857,1.11
2000-03-13,5.63861,40.12513,0.1,2.134,0.972
2000-03-14,5.60265,39.86927,0.1,1.974,0.972
2000-03-15,5.58471,39.74158,0.4,2.163,0.972
2000-03-16,5.54889,39.48668,0.0,1.913,0.972
2000-03-17,5.62062,39.99712,14.1,3.204,0.593
2000-03-18,5.78331,41.15486,34.0,4.123,0.01
2000-03-19,5.85619,41.6735,2.7,3.233,0.01
2000-03-20,5.87447,41.80355,0.3,2.579,0.904
2000-03-21,5.85619,41.6735,0.5,2.142,0.972
2000-03-22,5.83794,41.54361,0.8,2.153,0.972
2000-03-23,5.83794,41.54361,1.4,2.386,0.972
2000-03-24,5.8015,41.28428,0.0,1.809,0.972
2000-03-25,5.76515,41.02559,0.0,1.869,0.972
2000-03-26,5.747,40.89648,0.7,2.06,0.972
2000-03-27,5.72888,40.76753,0.2,2.072,0.972
2000-03-28,5.71078,40.63873,0.0,2.093,0.838
2000-03-29,5.72888,40.76753,8.6,2.499,0.593
2000-03-30,5.76515,41.02559,5.5,2.706,0.742
2000-03-31,5.8015,41.28428,0.7,2.724,0.904
2000-04-01,5.76515,41.02559,0.0,1.879,1.04
