Data,Nível,Volume (hm³),Volume (%),Chuva (mm),Vazão natural (m³/s),Vazão a jusante (m³/s),Reservatório
2000-01-01,912.78,2.6457919518947604,18.82782855772927,0.0,2.0972849037558934,0.537,Represa Pedro Beicht
2000-01-01,,,,6.3,0.803,,Represa da Graça
2000-01-01,,,,17.3,1.086,,Isolina
2000-01-02,912.78,2.6457919518947604,18.82782855772927,33.2,0.537,0.537,Represa Pedro Beicht
2000-01-02,,,,30.0,0.5929999999999999,,Represa da Graça
2000-01-02,,,,21.9,1.089,,Isolina
2000-01-03,912.8,2.673046127557755,19.021773114291104,3.6,1.153441847951325,0.838,Represa Pedro Beicht
2000-01-03,,,,5.1,0.20200000000000007,,Represa da Graça
2000-01-03,,,,5.9,1.084,,Isolina
2000-01-04,912.87,2.769201152801514,19.70602583074416,17.9,1.95090538476573,0.838,Represa Pedro Beicht
2000-01-04,,,,23.4,0.28200000000000014,,Represa da Graça
2000-01-04,,,,18.5,1.063,,Isolina
2000-01-05,913.03,2.993437547445297,21.30172362993544,30.9,3.2173286417104547,0.622,Represa Pedro Beicht
2000-01-05,,,,33.6,0.578,,Represa da Graça
2000-01-05,,,,19.0,1.099,,Isolina
2000-01-06,913.22,3.267712872505188,23.253505512915673,16.7,3.2224829289339216,0.048,Represa Pedro Beicht
2000-01-06,,,,11.4,1.422,,Represa da Graça
2000-01-06,,,,14.0,1.052,,Isolina
2000-01-07,913.28,3.356117731094361,23.88260695076503,0.5,1.3122043818191294,0.289,Represa Pedro Beicht
2000-01-07,,,,1.6,1.0010000000000001,,Represa da Graça
2000-01-07,,,,0.2,1.072,,Isolina
2000-01-08,913.32,3.415529856443405,24.305392011215847,0.0,1.4936403396880098,0.806,Represa Pedro Beicht
2000-01-08,,,,1.8,0.4139999999999999,,Represa da Graça
2000-01-08,,,,4.3,1.0393,,Isolina
2000-01-09,913.35,3.460338096380234,24.624253764083473,2.6,1.324613888157746,0.806,Represa Pedro Beicht
2000-01-09,,,,1.1,0.42399999999999993,,Represa da Graça
2000-01-09,,,,2.9,1.071,,Isolina
2000-01-10,913.34,3.4453783113956455,24.517797824965275,0.1,0.7308543404561504,0.904,Represa Pedro Beicht
2000-01-10,,,,0.0,0.33599999999999997,,Represa da Graça
2000-01-10,,,,0.0,1.053,,Isolina
2000-01-11,913.34,3.4453783113956455,24.517797824965275,4.9,1.11,1.11,Represa Pedro Beicht
2000-01-11,,,,11.8,0.21999999999999997,,Represa da Graça
2000-01-11,,,,26.5,0.867,,Isolina
2000-01-12,913.3,3.3857762992382052,24.09366150321392,0.0,0.6901618963259222,1.38,Represa Pedro Beicht
2000-01-12,,,,0.0,0.06000000000000005,,Represa da Graça
2000-01-12,,,,0.0,1.0789,,Isolina
2000-01-13,913.26,3.3265542426109316,23.672228998584853,1.9,0.5345595297769254,1.22,Represa Pedro Beicht
2000-01-13,,,,3.1,0.26,,Represa da Graça
2000-01-13,,,,9.3,1.0733,,Isolina
2000-01-14,913.24,3.2970859265327452,23.462528306658665,0.0,0.7389315268728434,1.08,Represa Pedro Beicht
2000-01-14,,,,0.0,0.17999999999999994,,Represa da Graça
2000-01-14,,,,0.0,1.0644,,Isolina
2000-01-15,913.21,3.253062097549438,23.149248532729764,3.1,0.5704649423228354,1.08,Represa Pedro Beicht
2000-01-15,,,,0.5,0.44599999999999995,,Represa da Graça
2000-01-15,,,,0.0,1.0672,,Isolina
2000-01-16,913.2,3.238435173511505,23.04516127903776,0.0,1.0507068977091079,1.22,Represa Pedro Beicht
2000-01-16,,,,3.8,-0.010000000000000009,,Represa da Graça
2000-01-16,,,,1.6,1.0678,,Isolina
2000-01-17,913.19,3.22383211016655,22.941243821401084,20.3,1.0509830631370924,1.22,Represa Pedro Beicht
2000-01-17,,,,8.3,0.1180000000000001,,Represa da Graça
2000-01-17,,,,0.5,1.0668,,Isolina
2000-01-18,913.18,3.209252920150757,22.83749624974061,0.0,0.6052593748172133,0.774,Represa Pedro Beicht
2000-01-18,,,,0.0,0.405,,Represa da Graça
2000-01-18,,,,3.3,1.0775,,Isolina
2000-01-19,913.16,3.180166201591492,22.63051105956019,0.0,0.43734816482332267,0.774,Represa Pedro Beicht
2000-01-19,,,,0.0,0.3839999999999999,,Represa da Graça
2000-01-19,,,,1.2,1.082,,Isolina
2000-01-20,913.15,3.1656586971282956,22.52727361239888,14.0,1.0120890687130024,1.18,Represa Pedro Beicht
2000-01-20,,,,5.9,-0.06599999999999984,,Represa da Graça
2000-01-20,,,,18.4,1.037,,Isolina
2000-01-21,913.13,3.1367154555320744,22.32130942451618,0.1,0.569008777821514,0.904,Represa Pedro Beicht
2000-01-21,,,,0.1,0.2619999999999999,,Represa da Graça
2000-01-21,,,,0.0,1.0779,,Isolina
2000-01-22,913.11,3.1078679797649387,22.116026719775196,0.0,0.746117178621114,1.08,Represa Pedro Beicht
2000-01-22,,,,0.0,0.07799999999999985,,Represa da Graça
2000-01-22,,,,0.0,1.052,,Isolina
2000-01-23,913.08,3.0647765238285065,21.80938184390237,0.0,0.5812562970320354,1.08,Represa Pedro Beicht
2000-01-23,,,,0.0,0.09299999999999997,,Represa da Graça
2000-01-23,,,,0.0,1.051,,Isolina
2000-01-24,913.03,2.993437547445297,21.30172362993544,0.1,0.2543174029721147,1.08,Represa Pedro Beicht
2000-01-24,,,,0.1,0.05499999999999994,,Represa da Graça
2000-01-24,,,,0.0,1.061,,Isolina
2000-01-25,912.98,2.9226999561786653,20.79834495724688,0.0,0.36127787885842677,1.18,Represa Pedro Beicht
2000-01-25,,,,0.0,-0.030999999999999917,,Represa da Graça
2000-01-25,,,,0.0,1.053,,Isolina
2000-01-26,912.98,2.9226999561786653,20.79834495724688,29.6,1.18,1.18,Represa Pedro Beicht
2000-01-26,,,,22.5,-0.040000000000000036,,Represa da Graça
2000-01-26,,,,0.3,1.092,,Isolina
2000-01-27,913.14,3.1511751115322117,22.424206375268245,12.4,2.654388372147528,0.01,Represa Pedro Beicht
2000-01-27,,,,22.2,1.117,,Represa da Graça
2000-01-27,,,,45.0,1.099,,Isolina
2000-01-28,913.17,3.1946976120471953,22.733918625134663,2.1,1.1847326448493463,0.681,Represa Pedro Beicht
2000-01-28,,,,1.2,0.43700000000000006,,Represa da Graça
2000-01-28,,,,0.3,1.079,,Isolina
2000-01-29,913.14,3.1511751115322117,22.424206375268245,0.0,0.4002673551506537,0.904,Represa Pedro Beicht
2000-01-29,,,,0.0,0.43200000000000005,,Represa da Graça
2000-01-29,,,,0.0,1.074,,Isolina
2000-01-30,913.1,3.093480181217194,22.01364111678548,0.0,0.5922346028354445,1.26,Represa Pedro Beicht
2000-01-30,,,,0.0,-0.387,,Represa da Graça
2000-01-30,,,,0.0,1.063,,Isolina
2000-01-31,913.08,3.0647765238285065,21.80938184390237,0.1,0.9277817431864858,1.26,Represa Pedro Beicht
2000-01-31,,,,0.0,-0.21100000000000008,,Represa da Graça
2000-01-31,,,,0.0,1.0657,,Isolina
2000-02-01,913.13,3.1367154555320744,22.32130942451618,18.7,1.7366265243468508,0.904,Represa Pedro Beicht
2000-02-01,,,,15.1,0.2617999999999999,,Represa da Graça
2000-02-01,,,,7.5,0.6887,,Isolina
2000-02-02,913.2,3.238435173511505,23.04516127903776,14.9,1.7143115506878552,0.537,Represa Pedro Beicht
2000-02-02,,,,12.5,0.6001,,Represa da Graça
2000-02-02,,,,12.1,1.0739,,Isolina
2000-02-03,913.2,3.238435173511505,23.04516127903776,0.0,0.838,0.838,Represa Pedro Beicht
2000-02-03,,,,0.0,0.406,,Represa da Graça
2000-02-03,,,,0.0,1.0699,,Isolina
2000-02-04,913.17,3.1946976120471953,22.733918625134663,0.0,0.6037782237927102,1.11,Represa Pedro Beicht
2000-02-04,,,,0.0,-0.014900000000000135,,Represa da Graça
2000-02-04,,,,0.0,1.0821,,Isolina
2000-02-05,913.3,3.3857762992382052,24.09366150321392,56.8,3.321558879525578,1.11,Represa Pedro Beicht
2000-02-05,,,,43.5,-0.09410000000000007,,Represa da Graça
2000-02-05,,,,29.6,1.108,,Isolina
2000-02-06,913.49,3.6722573697566987,26.132301191755648,0.8,3.3807531310010814,0.065,Represa Pedro Beicht
2000-02-06,,,,1.8,1.1864000000000001,,Represa da Graça
2000-02-06,,,,9.2,1.091,,Isolina
2000-02-07,913.54,3.7490621440410616,26.678854794205563,0.0,1.4259441468097562,0.537,Represa Pedro Beicht
2000-02-07,,,,0.0,0.3882,,Represa da Graça
2000-02-07,,,,0.0,1.0849,,Isolina
2000-02-08,913.57,3.7954267814159395,27.008792090677545,1.5,1.0736277473944194,0.537,Represa Pedro Beicht
2000-02-08,,,,0.8,0.8335,,Represa da Graça
2000-02-08,,,,0.0,1.0832,,Isolina
2000-02-09,913.57,3.7954267814159395,27.008792090677545,0.2,0.838,0.838,Represa Pedro Beicht
2000-02-09,,,,0.0,0.39690000000000014,,Represa da Graça
2000-02-09,,,,0.0,1.0655,,Isolina
2000-02-10,913.65,3.9200962977409364,27.895957945899504,21.0,1.4909342167245012,0.048,Represa Pedro Beicht
2000-02-10,,,,24.1,1.1966999999999999,,Represa da Graça
2000-02-10,,,,18.0,1.0996,,Isolina
2000-02-11,913.75,4.078033812761307,29.01986357026569,22.2,2.310980497920958,0.483,Represa Pedro Beicht
2000-02-11,,,,18.1,0.7202000000000001,,Represa da Graça
2000-02-11,,,,21.7,1.1021,,Isolina
2000-02-12,913.87,4.270624676942825,30.390367313010003,20.5,2.2770609280268332,0.048,Represa Pedro Beicht
2000-02-12,,,,24.0,1.3445,,Represa da Graça
2000-02-12,,,,8.1,1.1145,,Isolina
2000-02-13,914.0,4.483017390012741,31.901783804290652,14.3,2.5062489938647623,0.048,Represa Pedro Beicht
2000-02-13,,,,13.2,1.2152,,Represa da Graça
2000-02-13,,,,29.1,1.1236,,Isolina
2000-02-14,914.13,4.699288386821746,33.440798709454725,11.4,2.5301365371412703,0.027,Represa Pedro Beicht
2000-02-14,,,,13.5,1.0315,,Represa da Graça
2000-02-14,,,,13.7,1.0934,,Isolina
2000-02-15,914.19,4.800406892776489,34.160372254444226,0.1,1.763353078179891,0.593,Represa Pedro Beicht
2000-02-15,,,,0.0,0.661,,Represa da Graça
2000-02-15,,,,0.0,1.0819,,Isolina
