Data,Volume (hm³),Volume (%),Chuva (mm),Vazão natural (m³/s),Vazão a jusante (m³/s)
2000-01-01,64.80029,36.02799,47.2,11.83,0.0
2000-01-02,65.42993,36.37806,9.2,18.888,0.0
2000-01-03,66.06216,36.72957,12.0,20.718,0.0
2000-01-04,67.3344,37.43692,24.6,28.065,0.0
2000-01-05,68.18832,37.91169,9.6,23.123,0.0
2000-01-06,69.91001,38.86892,7.0,32.467,0.0
2000-01-07,71.43164,39.71492,6.8,31.251,0.0
2000-01-08,74.07311,41.18354,28.0,43.713,0.0
2000-01-09,75.40947,41.92654,5.2,28.567,0.0
2000-01-10,76.53108,42.55013,0.0,27.282,0.0
2000-01-11,77.65993,43.17776,9.8,26.905,0.0
2000-01-12,78.11351,43.42994,0.0,17.09,0.0
2000-01-13,79.25252,44.06322,8.0,27.523,0.0
2000-01-14,79.25252,44.06322,3.0,13.34,0.0
2000-01-15,79.02414,43.93624,0.4,11.397,0.0
2000-01-16,78.79604,43.80942,2.6,10.76,0.0
2000-01-17,78.79604,43.80942,0.8,14.3,0.0
2000-01-18,79.02414,43.93624,4.0,16.98,0.0
2000-01-19,78.56824,43.68277,0.0,9.363,0.0
2000-01-20,78.34073,43.55627,12.0,11.507,0.0
2000-01-21,78.34073,43.55627,0.0,13.668,0.0
2000-01-22,77.88658,43.30377,0.0,7.812,0.0
2000-01-23,77.65993,43.17776,0.0,10.277,0.0
2000-01-24,76.98175,42.8007,0.0,5.751,0.0
2000-01-25,76.30618,42.42509,0.0,5.681,0.0
2000-01-26,76.30618,42.42509,21.8,13.9,0.0
2000-01-27,78.11351,43.42994,21.6,33.986,0.0
2000-01-28,78.79604,43.80942,2.6,21.068,0.0
2000-01-29,79.48119,44.19035,0.0,21.198,0.0
2000-01-30,79.71016,44.31766,0.0,15.35,0.0
2000-01-31,79.93941,44.44512,0.0,16.253,0.0
2000-02-01,79.93941,44.44512,5.0,13.168,0.0
2000-02-02,80.16896,44.57274,6.8,16.325,0.0
2000-02-03,80.62892,44.82847,0.0,18.992,0.0
2000-02-04,80.39879,44.70053,0.0,10.204,0.0
2000-02-05,81.09005,45.08485,18.6,21.469,0.0
2000-02-06,81.78391,45.47063,0.4,22.231,0.0
2000-02-07,82.01579,45.59955,0.0,16.984,0.0
2000-02-08,82.01579,45.59955,1.6,13.768,0.0
2000-02-09,81.55233,45.34188,0.0,8.004,0.0
2000-02-10,82.01579,45.59955,11.4,18.832,0.0
2000-02-11,82.71314,45.98727,20.0,21.639,0.0
2000-02-12,83.64703,46.5065,10.8,23.777,0.0
2000-02-13,85.29254,47.42138,42.8,31.245,0.0
2000-02-14,87.66804,48.74212,21.2,40.694,0.0
2000-02-15,88.86673,49.40857,0.0,27.342,0.0
2000-02-16,89.58944,49.81039,0.4,22.033,0.0
2000-02-17,91.04276,50.61841,24.0,30.189,0.0
2000-02-18,92.75158,51.56849,8.2,32.546,0.0
2000-02-19,94.22769,52.38919,0.0,30.553,0.0
2000-02-20,96.21222,53.49255,0.0,36.169,0.0
2000-02-21,97.71291,54.32691,0.0,31.569,0.0
2000-02-22,98.21548,54.60634,0.0,19.785,0.0
2000-02-23,98.71923,54.88641,12.4,19.198,0.0
2000-02-24,99.98372,55.58945,1.4,28.103,0.0
2000-02-25,101.25554,56.29656,0.0,28.288,0.0
2000-02-26,102.53469,57.00775,0.0,28.773,0.0
2000-02-27,103.0484,57.29337,0.0,19.846,0.0
2000-02-28,103.3057,57.43642,0.0,17.278,0.0
2000-02-29,104.85564,58.29817,90.6,31.107,0.0
2000-03-01,106.67727,59.31096,33.2,34.742,0.0
2000-03-02,107.20038,59.6018,0.0,19.856,0.0
2000-03-03,107.46237,59.74747,0.0,16.512,0.0
2000-03-04,107.46237,59.74747,2.0,13.146,0.0
2000-03-05,107.20038,59.6018,0.0,9.869,0.0
2000-03-06,107.72466,59.8933,18.8,19.476,0.0
2000-03-07,107.72466,59.8933,0.0,12.787,0.0
2000-03-08,109.5689,60.91867,32.2,34.539,0.0
2000-03-09,109.5689,60.91867,0.0,13.754,0.0
2000-03-10,109.83354,61.06581,0.0,16.346,0.0
2000-03-11,109.5689,60.91867,0.0,10.323,0.0
2000-03-12,109.5689,60.91867,0.0,12.905,0.0
2000-03-13,109.04051,60.62489,0.0,6.846,0.0
2000-03-14,108.51329,60.33176,0.0,7.501,0.0
2000-03-15,107.72466,59.8933,0.4,4.344,0.0
2000-03-16,107.46237,59.74747,0.0,10.485,0.0
2000-03-17,107.72466,59.8933,11.2,16.682,0.0
2000-03-18,107.72466,59.8933,5.8,13.091,0.0
2000-03-19,108.51329,60.33176,12.6,22.001,0.0
2000-03-20,108.25012,60.18544,0.2,11.027,0.0
2000-03-21,108.25012,60.18544,0.0,12.995,0.0
2000-03-22,107.98724,60.03929,0.0,9.126,0.0
2000-03-23,107.98724,60.03929,4.0,13.76,0.0
2000-03-24,107.46237,59.74747,0.0,7.637,0.0
2000-03-25,107.20038,59.6018,0.0,10.478,0.0
2000-03-26,106.67727,59.31096,0.8,6.821,0.0
2000-03-27,106.15533,59.02078,0.0,8.277,0.0
2000-03-28,105.89481,58.87593,0.8,10.509,0.0
2000-03-29,106.15533,59.02078,16.2,16.271,0.0
2000-03-30,107.20038,59.6018,4.2,25.418,0.0
2000-03-31,108.77675,60.47824,2.2,31.666,0.0
2000-04-01,111.69425,62.10033,0.0,46.837,0.0
2000-04-02,114.10776,63.44221,0.0,40.634,0.0
2000-04-03,115.45889,64.19342,2.4,29.538,0.0
2000-04-04,115.18808,64.04285,0.0,10.736,0.0
2000-04-05,115.18808,64.04285,0.0,13.87,0.0
2000-04-06,114.91756,63.89244,0.0,10.539,0.0
2000-04-07,114.3774,63.59212,0.0,7.818,0.0
2000-04-08,113.83841,63.29245,0.0,7.232,0.0
2000-04-09,113.30061,62.99344,0.0,7.375,0.0
2000-04-10,112.76398,62.69508,0.0,8.089,0.0
2000-04-11,112.22853,62.39738,0.0,7.373,0.0
2000-04-12,111.69425,62.10033,0.0,7.686,0.0
2000-04-13,110.89504,61.65598,0.0,4.72,0.0
2000-04-14,110.09848,61.2131,0.0,4.551,0.0
2000-04-15,109.30456,60.7717,0.0,4.161,0.0
2000-04-16,108.77675,60.47824,0.0,7.691,0.0
2000-04-17,107.98724,60.03929,0.0,4.262,0.0
2000-04-18,107.20038,59.6018,0.0,4.643,0.0
2000-04-19,106.67727,59.31096,0.0,7.396,0.0
2000-04-20,105.89481,58.87593,0.0,-5.706,0.0
2000-04-21,105.89481,58.87593,0.0,14.6,0.0
2000-04-22,105.11499,58.44236,0.4,4.574,0.0
2000-04-23,104.33782,58.01027,0.0,4.405,0.0
2000-04-24,103.56329,57.57964,0.0,5.436,0.0
2000-04-25,102.7914,57.15048,0.0,5.016,0.0
2000-04-26,101.76632,56.58055,0.0,1.986,0.0
2000-04-27,101.25554,56.29656,0.0,7.838,0.0
2000-04-28,100.23749,55.73055,0.0,2.667,0.0
2000-04-29,99.47704,55.30775,0.0,-0.252,0.0
2000-04-30,98.97154,55.02669,0.0,8.949,0.0
2000-05-01,98.21548,54.60634,0.0,4.849,0.0
2000-05-02,97.21151,54.04814,0.0,2.98,0.0
2000-05-03,96.4616,53.63121,0.0,5.271,0.0
2000-05-04,95.71433,53.21574,0.0,4.801,0.0
2000-05-05,94.96969,52.80173,1.0,5.132,0.0
2000-05-06,93.98094,52.252,0.0,2.106,0.0
2000-05-07,93.24245,51.84141,3.6,3.803,0.0
2000-05-08,92.50659,51.43228,0.0,5.683,0.0
2000-05-09,91.77336,51.02461,1.2,5.494,0.0
2000-05-10,91.04276,50.61841,0.0,4.754,0.0
2000-05-11,90.07271,50.07908,0.0,1.483,0.0
2000-05-12,89.34825,49.67629,0.0,4.225,0.0
2000-05-13,88.38638,49.1415,0.0,1.677,0.0
2000-05-14,87.66804,48.74212,0.0,4.436,0.0
2000-05-15,86.95233,48.34419,0.0,5.816,0.0
2000-05-16,86.23924,47.94773,0.0,5.457,0.0
2000-05-17,85.29254,47.42138,0.0,2.253,0.0
2000-05-18,84.3505,46.89762,0.0,2.307,0.0
2000-05-19,83.64703,46.5065,1.6,5.068,0.0
2000-05-20,82.94618,46.11683,1.2,4.098,0.0
2000-05-21,82.24795,45.72863,0.6,4.029,0.0
2000-05-22,81.55233,45.34188,0.0,5.249,0.0
2000-05-23,80.85934,44.95658,0.0,5.029,0.0
2000-05-24,80.16896,44.57274,0.0,4.859,0.0
2000-05-25,79.25252,44.06322,0.0,2.183,0.0
2000-05-26,78.34073,43.55627,0.0,2.857,0.0
2000-05-27,77.65993,43.17776,0.0,4.5,0.0
2000-05-28,76.98175,42.8007,0.0,4.701,0.0
2000-05-29,76.30618,42.42509,0.0,5.981,0.0
2000-05-30,75.40947,41.92654,0.0,2.171,0.0
2000-05-31,74.73999,41.55431,0.0,5.711,0.0
2000-06-01,73.85139,41.06027,2.0,0.665,0.0
2000-06-02,73.40884,40.81421,0.0,4.978,0.0
2000-06-03,72.74717,40.44634,0.0,3.942,0.0
2000-06-04,72.3075,40.20189,0.0,5.461,0.0
2000-06-05,71.65017,39.83642,0.0,2.542,0.0
2000-06-06,70.99544,39.4724,0.0,3.672,0.0
2000-06-07,70.5604,39.23053,0.0,6.015,0.0
2000-06-08,69.91001,38.86892,0.0,3.222,0.0
2000-06-09,69.47785,38.62865,0.0,5.298,0.0
2000-06-10,68.83179,38.26944,0.0,4.322,0.0
2000-06-11,68.18832,37.91169,0.0,3.302,0.0
2000-06-12,67.76078,37.67398,0.0,5.332,0.0
2000-06-13,67.12164,37.31863,0.0,2.812,0.0
2000-06-14,66.48509,36.96471,0.0,2.043,0.0
2000-06-15,65.85113,36.61224,0.0,2.073,0.0
2000-06-16,65.21976,36.26121,0.0,2.442,0.0
2000-06-17,64.59098,35.91162,0.0,2.522,0.0
2000-06-18,64.17323,35.67936,0.0,4.645,0.0
2000-06-19,63.54876,35.33216,0.0,1.582,0.0
2000-06-20,62.92688,34.98641,0.0,2.112,0.0
2000-06-21,62.92688,34.98641,24.6,10.18,0.0
2000-06-22,62.51373,34.7567,0.0,5.328,0.0
2000-06-23,62.10173,34.52763,0.0,3.781,0.0
2000-06-24,61.69087,34.2992,0.0,5.645,0.0
2000-06-25,61.07674,33.95775,0.0,2.702,0.0
2000-06-26,60.46519,33.61774,0.0,1.732,0.0
2000-06-27,59.85621,33.27916,0.1,2.662,0.0
2000-06-28,59.24982,32.94201,0.0,2.792,0.0
2000-06-29,58.646,32.6063,0.0,2.721,0.0
2000-06-30,57.84491,32.1609,0.0,-0.322,0.0
2000-07-01,57.2471,31.82853,0.0,4.031,0.0
2000-07-02,56.65185,31.49758,0.0,3.211,0.0
2000-07-03,56.05918,31.16806,0.0,4.74,0.0
2000-07-04,55.46907,30.83998,0.0,3.72,0.0
2000-07-05,54.68626,30.40474,0.0,1.09,0.0
2000-07-06,54.29656,30.18808,0.0,6.74,0.0
2000-07-07,53.52059,29.75665,0.0,2.069,0.0
2000-07-08,52.94159,29.43473,0.0,4.049,0.0
2000-07-09,52.36516,29.11425,0.0,3.628,0.0
2000-07-10,51.79129,28.79518,0.0,5.158,0.0
2000-07-11,50.84051,28.26656,0.0,-0.254,0.0
2000-07-12,50.27345,27.95129,0.0,3.717,0.0
2000-07-13,49.70894,27.63743,0.0,3.676,0.0
2000-07-14,49.14699,27.32499,0.0,2.906,0.0
2000-07-15,48.40168,26.91061,0.0,0.784,0.0
2000-07-16,48.77377,27.11748,22.8,14.057,0.0
2000-07-17,48.21606,26.80741,0.0,3.345,0.0
2000-07-18,48.03072,26.70436,0.0,7.335,0.0
2000-07-19,47.47641,26.39617,0.0,2.394,0.0
2000-07-20,47.10828,26.1915,0.0,5.049,0.0
2000-07-21,46.74129,25.98746,0.0,5.932,0.0
2000-07-22,46.01068,25.58125,0.0,1.654,0.0
2000-07-23,46.01068,25.58125,17.4,8.55,0.0
2000-07-24,46.37542,25.78404,10.2,14.622,0.0
2000-07-25,46.19291,25.68257,0.0,7.698,0.0
2000-07-26,46.01068,25.58125,0.0,6.701,0.0
2000-07-27,45.82873,25.48009,0.0,7.604,0.0
2000-07-28,45.46569,25.27824,0.0,5.608,0.0
2000-07-29,45.10377,25.07702,0.0,5.521,0.0
2000-07-30,44.56301,24.77637,0.0,2.691,0.0
2000-07-31,44.38332,24.67646,0.0,8.32,0.0
2000-08-01,43.84594,24.37769,0.0,3.99,0.0
2000-08-02,43.13337,23.98151,0.0,1.563,0.0
2000-08-03,42.77878,23.78436,0.0,6.106,0.0
2000-08-04,42.24899,23.48981,0.4,4.118,0.0
2000-08-05,41.72173,23.19666,0.0,3.947,0.0
2000-08-06,41.37162,23.002,0.0,5.598,0.0
2000-08-07,41.02264,22.80798,0.0,6.261,0.0
2000-08-08,40.50127,22.5181,0.0,4.076,0.0
2000-08-09,39.98243,22.22963,0.0,4.105,0.0
2000-08-10,39.4661,21.94256,0.6,4.334,0.0
2000-08-11,39.12328,21.75196,3.0,5.742,0.0
2000-08-12,38.78158,21.56198,0.0,5.525,0.0
2000-08-13,38.61115,21.46722,0.0,7.077,0.0
2000-08-14,38.44099,21.37262,0.0,8.731,0.0
2000-08-15,37.93221,21.08974,0.0,4.621,0.0
2000-08-16,38.10153,21.18388,17.0,11.77,0.0
2000-08-17,37.93221,21.08974,0.4,7.78,0.0
2000-08-18,37.76318,20.99576,0.4,7.984,0.0
2000-08-19,37.59442,20.90194,0.0,8.287,0.0
2000-08-20,37.08983,20.62139,0.0,3.94,0.0
2000-08-21,36.75483,20.43513,0.0,6.203,0.0
2000-08-22,36.25441,20.15691,0.0,3.948,0.0
2000-08-23,35.9222,19.9722,0.0,6.995,0.0
2000-08-24,35.2611,19.60464,0.0,2.488,0.0
2000-08-25,34.7682,19.3306,0.0,4.635,0.0
2000-08-26,34.60445,19.23956,0.0,8.645,0.0
2000-08-27,34.7682,19.3306,0.0,11.495,0.0
2000-08-28,34.7682,19.3306,30.8,9.6,0.0
2000-08-29,35.42596,19.6963,17.2,16.723,0.0
2000-08-30,36.25441,20.15691,0.0,18.799,0.0
2000-08-31,36.58774,20.34224,0.0,13.098,0.0
2000-09-01,36.58774,20.34224,2.4,9.34,0.0
2000-09-02,38.27112,21.27817,34.4,26.824,0.0
2000-09-03,40.32805,22.42179,11.0,31.407,0.0
2000-09-04,42.24899,23.48981,5.2,31.083,0.0
2000-09-05,43.31109,24.08032,0.0,21.533,0.0
2000-09-06,44.02479,24.47712,0.0,17.31,0.0
2000-09-07,44.38332,24.67646,0.0,12.16,0.0
2000-09-08,44.56301,24.77637,0.0,10.56,0.0
2000-09-09,44.56301,24.77637,0.0,7.99,0.0
2000-09-10,44.38332,24.67646,0.0,5.62,0.0
2000-09-11,44.38332,24.67646,0.0,8.69,0.0
2000-09-12,44.20391,24.57671,0.0,6.014,0.0
2000-09-13,45.46569,25.27824,31.8,21.234,0.0
2000-09-14,46.74129,25.98746,1.4,21.104,0.0
2000-09-15,47.84567,26.60148,0.0,21.312,0.0
2000-09-16,48.58758,27.01397,8.0,14.787,0.0
2000-09-17,49.33402,27.42898,0.0,15.699,0.0
2000-09-18,49.89683,27.74189,3.0,15.794,0.0
2000-09-19,50.27345,27.95129,0.0,14.079,0.0
2000-09-20,50.46219,28.05622,0.0,10.874,0.0
2000-09-21,50.65121,28.16131,0.0,11.158,0.0
2000-09-22,50.46219,28.05622,0.0,5.522,0.0
2000-09-23,50.46219,28.05622,0.0,7.81,0.0
2000-09-24,50.27345,27.95129,0.0,5.906,0.0
2000-09-25,50.27345,27.95129,0.8,8.28,0.0
2000-09-26,49.89683,27.74189,0.0,3.871,0.0
2000-09-27,49.89683,27.74189,0.0,8.24,0.0
2000-09-28,49.70894,27.63743,0.0,6.505,0.0
2000-09-29,49.70894,27.63743,0.0,8.44,0.0
2000-09-30,49.33402,27.42898,0.0,3.381,0.0
2000-10-01,49.14699,27.32499,0.0,5.315,0.0
2000-10-02,48.96024,27.22116,0.0,6.039,0.0
2000-10-03,48.58758,27.01397,0.0,5.067,0.0
2000-10-04,48.21606,26.80741,0.0,4.98,0.0
2000-10-05,49.52134,27.53312,29.2,24.497,0.0
2000-10-06,51.0301,28.37197,5.8,26.372,0.0
2000-10-07,52.17358,29.00773,0.0,20.985,0.0
2000-10-08,52.94159,29.43473,0.0,16.519,0.0
2000-10-09,53.13431,29.54188,0.0,11.03,0.0
2000-10-10,53.13431,29.54188,0.0,8.27,0.0
2000-10-11,53.3273,29.64918,11.0,11.634,0.0
2000-10-12,53.3273,29.64918,0.0,8.48,0.0
2000-10-13,53.3273,29.64918,0.0,8.45,0.0
2000-10-14,53.3273,29.64918,0.0,8.55,0.0
2000-10-15,53.13431,29.54188,0.0,5.386,0.0
2000-10-16,52.94159,29.43473,0.0,6.79,0.0
2000-10-17,52.74916,29.32775,0.0,7.343,0.0
2000-10-18,52.74916,29.32775,5.3,9.44,0.0
2000-10-19,52.36516,29.11425,0.0,4.816,0.0
2000-10-20,51.98229,28.90138,2.8,5.139,0.0
2000-10-21,51.60056,28.68914,0.0,4.572,0.0
2000-10-22,51.21997,28.47754,0.0,4.725,0.0
2000-10-23,50.84051,28.26656,0.0,5.938,0.0
2000-10-24,50.46219,28.05622,6.0,6.031,0.0
2000-10-25,50.27345,27.95129,4.0,7.336,0.0
2000-10-26,49.89683,27.74189,0.0,4.791,0.0
2000-10-27,49.52134,27.53312,2.4,6.654,0.0
2000-10-28,49.14699,27.32499,0.0,5.247,0.0
2000-10-29,48.77377,27.11748,0.0,4.17,0.0
2000-10-30,48.40168,26.91061,1.6,6.273,0.0
2000-10-31,48.03072,26.70436,0.0,7.067,0.0
2000-11-01,47.6609,26.49875,0.0,5.57,0.0
2000-11-02,47.10828,26.1915,0.0,2.904,0.0
2000-11-03,46.74129,25.98746,0.0,5.052,0.0
2000-11-04,46.37542,25.78404,1.6,4.255,0.0
2000-11-05,46.01068,25.58125,0.0,4.058,0.0
2000-11-06,45.64707,25.37909,0.0,6.122,0.0
2000-11-07,45.28459,25.17755,1.8,6.125,0.0
2000-11-08,44.74298,24.87643,0.0,2.871,0.0
2000-11-09,44.56301,24.77637,0.0,8.227,0.0
2000-11-10,44.02479,24.47712,2.0,3.111,0.0
2000-11-11,43.48909,24.17929,0.0,-1.17,0.0
2000-11-12,43.31109,24.08032,0.0,7.67,0.0
2000-11-13,42.77878,23.78436,5.2,4.369,0.0
2000-11-14,43.48909,24.17929,38.2,18.551,0.0
2000-11-15,44.92324,24.97665,5.7,25.239,0.0
2000-11-16,45.64707,25.37909,0.0,16.978,0.0
2000-11-17,46.19291,25.68257,0.0,15.348,0.0
2000-11-18,46.01068,25.58125,12.5,6.531,0.0
2000-11-19,46.74129,25.98746,22.8,18.716,0.0
2000-11-20,46.55821,25.88567,0.0,7.811,0.0
2000-11-21,46.74129,25.98746,0.0,11.269,0.0
2000-11-22,47.10828,26.1915,18.0,15.678,0.0
2000-11-23,46.92464,26.0894,0.0,7.315,0.0
2000-11-24,46.92464,26.0894,0.0,9.23,0.0
2000-11-25,46.74129,25.98746,3.0,7.708,0.0
2000-11-26,47.6609,26.49875,24.2,18.734,0.0
2000-11-27,48.58758,27.01397,8.4,19.305,0.0
2000-11-28,49.33402,27.42898,0.0,17.739,0.0
2000-11-29,49.89683,27.74189,0.0,15.184,0.0
2000-11-30,50.46219,28.05622,21.0,15.413,0.0
2000-12-01,50.46219,28.05622,1.0,8.19,0.0
2000-12-02,50.65121,28.16131,1.4,10.638,0.0
2000-12-03,50.84051,28.26656,0.0,9.751,0.0
2000-12-04,51.21997,28.47754,0.0,12.792,0.0
2000-12-05,51.98229,28.90138,18.8,17.463,0.0
2000-12-06,53.13431,29.54188,10.6,21.993,0.0
2000-12-07,53.90801,29.97204,0.0,17.755,0.0
2000-12-08,54.29656,30.18808,0.0,13.307,0.0
2000-12-09,54.29656,30.18808,0.0,7.3,0.0
2000-12-10,54.88154,30.51331,8.8,14.071,0.0
2000-12-11,55.0771,30.62204,17.8,10.843,0.0
2000-12-12,54.88154,30.51331,0.0,6.407,0.0
2000-12-13,54.88154,30.51331,0.0,9.58,0.0
2000-12-14,54.49127,30.29633,10.0,6.893,0.0
2000-12-15,55.0771,30.62204,11.4,18.11,0.0
2000-12-16,55.27294,30.73093,8.2,13.397,0.0
2000-12-17,57.2471,31.82853,23.6,32.169,0.0
2000-12-18,59.45166,33.05424,12.8,35.956,0.0
2000-12-19,60.26191,33.50472,0.4,20.978,0.0
2000-12-20,61.28116,34.07141,0.0,22.497,0.0
2000-12-21,62.30759,34.64209,0.0,23.39,0.0
2000-12-22,62.30759,34.64209,0.0,11.98,0.0
2000-12-23,62.10173,34.52763,0.0,8.597,0.0
2000-12-24,61.89616,34.41334,0.0,6.871,0.0
2000-12-25,63.13389,35.1015,22.2,26.246,0.0
2000-12-26,65.85113,36.61224,9.0,42.08,0.0
2000-12-27,68.40252,38.03078,0.0,40.09,0.0
2000-12-28,70.99544,39.4724,8.6,40.791,0.0
2000-12-29,72.74717,40.44634,4.6,30.635,0.0
2000-12-30,73.62997,40.93716,5.0,19.318,0.0
2000-12-31,75.63321,42.05094,52.0,31.476,0.0
2001-01-01,77.88658,43.30377,3.6,34.181,0.0
2001-01-02,79.48119,44.19035,0.0,28.946,0.0
2001-01-03,80.39879,44.70053,0.0,21.06,0.0
2001-01-04,80.85934,44.95658,0.0,15.77,0.0
2001-01-05,81.09005,45.08485,2.6,13.78,0.0
2001-01-06,80.85934,44.95658,0.0,7.98,0.0
2001-01-07,81.09005,45.08485,0.0,13.06,0.0
2001-01-08,81.09005,45.08485,0.0,10.18,0.0
2001-01-09,82.4804,45.85787,30.8,24.232,0.0
2001-01-10,83.64703,46.5065,80.6,23.743,0.0
2001-01-11,83.41312,46.37645,0.0,8.823,0.0
2001-01-12,83.17951,46.24656,0.0,8.966,0.0
2001-01-13,82.71314,45.98727,0.6,6.002,0.0
2001-01-14,82.4804,45.85787,0.0,7.566,0.0
2001-01-15,82.24795,45.72863,5.0,9.17,0.0
2001-01-16,82.24795,45.72863,13.4,11.0,0.0
2001-01-17,82.01579,45.59955,0.0,7.853,0.0
2001-01-18,81.55233,45.34188,0.0,5.576,0.0
2001-01-19,81.09005,45.08485,0.0,6.509,0.0
2001-01-20,80.39879,44.70053,0.0,3.659,0.0
2001-01-21,79.71016,44.31766,0.0,2.68,0.0
2001-01-22,79.02414,43.93624,0.0,3.61,0.0
2001-01-23,78.56824,43.68277,0.0,5.593,0.0
2001-01-24,78.11351,43.42994,6.4,5.667,0.0
2001-01-25,77.88658,43.30377,2.0,8.313,0.0
2001-01-26,78.34073,43.55627,9.0,16.176,0.0
2001-01-27,78.34073,43.55627,0.0,11.15,0.0
2001-01-28,80.85934,44.95658,111.4,40.011,0.0
2001-01-29,81.32104,45.21328,1.8,17.154,0.0
2001-01-30,81.09005,45.08485,0.0,9.696,0.0
2001-01-31,81.09005,45.08485,0.0,11.45,0.0
2001-02-01,80.85934,44.95658,1.8,10.48,0.0
2001-02-02,82.71314,45.98727,13.0,32.586,0.0
2001-02-03,83.17951,46.24656,0.0,16.558,0.0
2001-02-04,84.11572,46.76708,8.0,21.476,0.0
2001-02-05,84.82094,47.15917,6.4,19.012,0.0
2001-02-06,85.76531,47.68423,26.2,21.26,0.0
2001-02-07,88.14664,49.00821,20.6,39.162,0.0
2001-02-08,89.58944,49.81039,0.0,27.899,0.0
2001-02-09,90.31479,50.21367,0.0,21.335,0.0
2001-02-10,92.01747,51.16034,6.0,29.957,0.0
2001-02-11,93.73448,52.11497,1.8,30.703,0.0
2001-02-12,94.47473,52.52654,0.0,19.478,0.0
2001-02-13,95.21761,52.93957,21.4,18.948,0.0
2001-02-14,96.21222,53.49255,0.0,22.202,0.0
2001-02-15,97.21151,54.04814,0.0,21.916,0.0
2001-02-16,98.71923,54.88641,8.6,28.73,0.0
2001-02-17,99.73023,55.44852,19.0,21.851,0.0
2001-02-18,101.00059,56.15481,1.2,24.223,0.0
2001-02-19,101.76632,56.58055,0.0,19.283,0.0
2001-02-20,101.76632,56.58055,0.0,10.11,0.0
2001-02-21,101.76632,56.58055,0.0,10.56,0.0
2001-02-22,101.76632,56.58055,0.0,-0.82,0.0
2001-02-23,102.27827,56.86519,0.0,15.425,0.0
2001-02-24,102.02215,56.72279,0.0,8.836,0.0
2001-02-25,102.02215,56.72279,6.0,10.63,0.0
2001-02-26,101.51078,56.43847,0.0,4.981,0.0
2001-02-27,101.25554,56.29656,0.0,7.456,0.0
2001-02-28,101.00059,56.15481,0.0,7.959,0.0
2001-03-01,100.49157,55.87181,0.0,6.009,0.0
2001-03-02,99.73023,55.44852,0.0,3.288,0.0
2001-03-03,99.47704,55.30775,5.6,8.07,0.0
2001-03-04,98.97154,55.02669,0.0,5.669,0.0
2001-03-05,98.71923,54.88641,0.0,8.95,0.0
2001-03-06,97.96405,54.46654,0.0,3.02,0.0
2001-03-07,97.46206,54.18745,0.0,6.23,0.0
2001-03-08,97.46206,54.18745,5.0,11.72,0.0
2001-03-09,97.46206,54.18745,13.6,11.47,0.0
2001-03-10,97.21151,54.04814,0.0,8.53,0.0
2001-03-11,96.96125,53.909,0.0,8.973,0.0
2001-03-12,96.71128,53.77002,0.0,8.347,0.0
2001-03-13,96.4616,53.63121,0.0,7.93,0.0
2001-03-14,95.96313,53.35406,0.0,6.121,0.0
2001-03-15,95.46583,53.07757,0.0,6.414,0.0
2001-03-16,94.96969,52.80173,14.2,7.238,0.0
2001-03-17,94.47473,52.52654,0.0,6.951,0.0
2001-03-18,94.22769,52.38919,7.6,9.801,0.0
