Data,Nível,Volume (hm³),Volume (%),Chuva (mm),Vazão natural (m³/s),Vazão a jusante (m³/s),Reservatório
2000-01-01,732.38,64.80028582928388,36.0279891541672,47.2,11.83,0.0,Represa Guarapiranga
2000-01-01,744.46,,,,,,Represa Billings
2000-01-02,732.41,65.42992831918849,36.37806095565661,9.2,18.88752881834041,0.0,Represa Guarapiranga
2000-01-02,744.6,,,,,,Represa Billings
2000-01-03,732.44,66.06216045712065,36.72957256269404,12.0,20.717501596437078,0.0,Represa Guarapiranga
2000-01-03,742.1,,,52.2,,,Represa Capivari
2000-01-03,744.7,,,,,,Represa Billings
2000-01-04,732.5,67.33439881847995,37.43691805196122,24.6,28.06498103425115,0.0,Represa Guarapiranga
2000-01-04,742.22,,,25.0,,,Represa Capivari
2000-01-04,744.74,,,,,,Represa Billings
2000-01-05,732.54,68.18832037904978,37.91168566029816,9.6,23.123351395484146,0.0,Represa Guarapiranga
2000-01-05,742.2,,,24.0,,,Represa Capivari
2000-01-05,744.72,,,,,,Represa Billings
2000-01-06,732.62,69.91000715758572,38.8689177433075,7.0,32.46693030712893,0.0,Represa Guarapiranga
2000-01-06,742.02,,,10.0,,,Represa Capivari
2000-01-06,744.7,,,,,,Represa Billings
2000-01-07,732.69,71.43163960496327,39.714922612100416,6.8,31.251486659462287,0.0,Represa Guarapiranga
2000-01-07,742.0,,,0.8,,,Represa Capivari
2000-01-07,744.7,,,,,,Represa Billings
2000-01-08,732.81,74.07310874444669,41.18353992281866,28.0,43.7125594847618,0.0,Represa Guarapiranga
2000-01-08,744.71,,,,,,Represa Billings
2000-01-09,732.87,75.40947341390743,41.92653867970973,5.2,28.56718367431423,0.0,Represa Guarapiranga
2000-01-09,744.71,,,,,,Represa Billings
2000-01-10,732.92,76.53107915119136,42.55013468427944,0.0,27.28154788523066,0.0,Represa Guarapiranga
2000-01-10,742.0,,,3.2,,,Represa Capivari
2000-01-10,744.74,,,,,,Represa Billings
2000-01-11,732.97,77.65993437082803,43.177761292545355,9.8,26.90545393097989,0.0,Represa Guarapiranga
2000-01-11,741.98,,,0.0,,,Represa Capivari
2000-01-11,744.68,,,,,,Represa Billings
2000-01-12,732.99,78.11350742363372,43.42994112197013,0.0,17.08968811117702,0.0,Represa Guarapiranga
2000-01-12,741.92,,,0.0,,,Represa Capivari
2000-01-12,744.6,,,,,,Represa Billings
2000-01-13,733.04,79.25252019583051,44.0632151774469,8.0,27.52301819672214,0.0,Represa Guarapiranga
2000-01-13,741.94,,,7.4,,,Represa Capivari
2000-01-13,744.66,,,,,,Represa Billings
2000-01-14,733.04,79.25252019583051,44.0632151774469,3.0,13.34,0.0,Represa Guarapiranga
2000-01-14,742.02,,,14.0,,,Represa Capivari
2000-01-14,744.64,,,,,,Represa Billings
2000-01-15,733.03,79.02413689980261,43.936237482719385,0.4,11.396674814491899,0.0,Represa Guarapiranga
2000-01-15,744.58,,,,,,Represa Billings
2000-01-16,733.02,78.79604401290656,43.80942125112308,2.6,10.760036031295716,0.0,Represa Guarapiranga
2000-01-16,744.55,,,,,,Represa Billings
2000-01-17,733.02,78.79604401290656,43.80942125112308,0.8,14.3,0.0,Represa Guarapiranga
2000-01-17,741.98,,,26.4,,,Represa Capivari
2000-01-17,744.57,,,,,,Represa Billings
2000-01-18,733.03,79.02413689980261,43.936237482719385,4.0,16.979963968704283,0.0,Represa Guarapiranga
2000-01-18,741.98,,,3.0,,,Represa Capivari
2000-01-18,744.56,,,,,,Represa Billings
2000-01-19,733.01,78.56824149688369,43.68276646138672,0.0,9.363432836586497,0.0,Represa Guarapiranga
2000-01-19,741.94,,,0.0,,,Represa Capivari
2000-01-19,744.49,,,,,,Represa Billings
2000-01-20,733.0,78.34072931331747,43.556273092151294,12.0,11.506757134650243,0.0,Represa Guarapiranga
2000-01-20,742.24,,,18.4,,,Represa Capivari
2000-01-20,744.5,,,,,,Represa Billings
2000-01-21,733.0,78.34072931331747,43.556273092151294,0.0,13.668,0.0,Represa Guarapiranga
2000-01-21,741.98,,,0.4,,,Represa Capivari
2000-01-21,744.49,,,,,,Represa Billings
2000-01-22,732.98,77.88657578910048,43.303770529308856,0.0,7.811593469710748,0.0,Represa Guarapiranga
2000-01-22,744.44,,,,,,Represa Billings
2000-01-23,732.97,77.65993437082803,43.177761292545355,0.0,10.276835436661456,0.0,Represa Guarapiranga
2000-01-23,744.43,,,,,,Represa Billings
2000-01-24,732.94,76.98175102231166,42.8007015001047,0.0,5.750655688467938,0.0,Represa Guarapiranga
2000-01-24,744.39,,,,,,Represa Billings
2000-01-25,732.91,76.30617820496487,42.4250931239265,0.0,5.680870169597338,0.0,Represa Guarapiranga
2000-01-25,744.37,,,,,,Represa Billings
2000-01-26,732.91,76.30617820496487,42.4250931239265,21.8,13.9,0.0,Represa Guarapiranga
2000-01-26,742.0,,,23.0,,,Represa Capivari
2000-01-26,744.33,,,,,,Represa Billings
2000-01-27,732.99,78.11350742363372,43.42994112197013,21.6,33.98616225311174,0.0,Represa Guarapiranga
2000-01-27,742.22,,,37.8,,,Represa Capivari
2000-01-27,744.51,,,,,,Represa Billings
2000-01-28,733.02,78.79604401290656,43.80942125112308,2.6,21.067729042509754,0.0,Represa Guarapiranga
2000-01-28,742.16,,,5.0,,,Represa Capivari
2000-01-28,744.53,,,,,,Represa Billings
2000-01-29,733.05,79.48119393909118,44.190354356489145,0.0,21.197975997507193,0.0,Represa Guarapiranga
2000-01-29,,,,0.0,,,Represa Capivari
2000-01-29,744.53,,,,,,Represa Billings
2000-01-30,733.06,79.71015816752785,44.31765504094201,0.0,15.350048940239194,0.0,Represa Guarapiranga
2000-01-30,,,,0.0,,,Represa Capivari
2000-01-30,744.53,,,,,,Represa Billings
2000-01-31,733.07,79.93941291892851,44.44511725181503,0.0,16.253411474544677,0.0,Represa Guarapiranga
2000-01-31,742.0,,,0.0,,,Represa Capivari
2000-01-31,744.51,,,,,,Represa Billings
2000-02-01,733.07,79.93941291892851,44.44511725181503,5.0,13.168,0.0,Represa Guarapiranga
2000-02-01,742.12,,,16.2,,,Represa Capivari
2000-02-01,744.48,,,,,,Represa Billings
2000-02-02,733.08,80.16895823091568,44.572741010025766,6.8,16.324774444295908,0.0,Represa Guarapiranga
2000-02-02,742.0,,,7.0,,,Represa Capivari
2000-02-02,744.48,,,,,,Represa Billings
2000-02-03,733.1,80.62892068637916,44.82847325170785,0.0,18.99163953082735,0.0,Represa Guarapiranga
2000-02-03,742.02,,,13.0,,,Represa Capivari
2000-02-03,744.48,,,,,,Represa Billings
2000-02-04,733.09,80.39879414096183,44.700526336408366,0.0,10.204498316928998,0.0,Represa Guarapiranga
2000-02-04,742.0,,,0.0,,,Represa Capivari
2000-02-04,744.47,,,,,,Represa Billings
2000-02-05,733.12,81.09004583178715,45.08485193159888,18.6,21.468598273441266,0.0,Represa Guarapiranga
2000-02-05,744.48,,,,,,Represa Billings
2000-02-06,733.15,81.78391423891591,45.4706323818937,0.4,22.230884341768068,0.0,Represa Guarapiranga
2000-02-06,744.57,,,,,,Represa Billings
2000-02-07,733.16,82.01578537128125,45.599549261427704,0.0,16.9836936616359,0.0,Represa Guarapiranga
2000-02-07,741.98,,,16.8,,,Represa Capivari
2000-02-07,744.57,,,,,,Represa Billings
2000-02-08,733.16,82.01578537128125,45.599549261427704,1.6,13.768,0.0,Represa Guarapiranga
2000-02-08,742.1,,,5.4,,,Represa Capivari
2000-02-08,744.57,,,,,,Represa Billings
2000-02-09,733.14,81.55233396248184,45.34187721390468,0.0,8.00397906482159,0.0,Represa Guarapiranga
2000-02-09,742.0,,,0.8,,,Represa Capivari
2000-02-09,744.58,,,,,,Represa Billings
2000-02-10,733.16,82.01578537128125,45.599549261427704,11.4,18.832020935178413,0.0,Represa Guarapiranga
2000-02-10,742.02,,,5.8,,,Represa Capivari
2000-02-10,744.61,,,,,,Represa Billings
2000-02-11,733.19,82.71314426525721,45.98727037017278,20.0,21.639283495092123,0.0,Represa Guarapiranga
2000-02-11,742.02,,,9.2,,,Represa Capivari
2000-02-11,744.7,,,,,,Represa Billings
2000-02-12,733.23,83.64703028549937,46.50649702138159,10.8,23.77686597502495,0.0,Represa Guarapiranga
2000-02-12,744.69,,,,,,Represa Billings
2000-02-13,733.3,85.29254108646656,47.42137640087222,42.8,31.245263900083188,0.0,Represa Guarapiranga
2000-02-13,744.73,,,,,,Represa Billings
2000-02-14,733.4,87.6680411094158,48.742118863151035,21.2,40.69421322857916,0.0,Represa Guarapiranga
2000-02-14,742.04,,,29.0,,,Represa Capivari
2000-02-14,744.9,,,,,,Represa Billings
2000-02-15,733.45,88.86672833051722,49.40857101916243,0.0,27.341694688673876,0.0,Represa Guarapiranga
2000-02-15,742.0,,,0.0,,,Represa Capivari
2000-02-15,744.9,,,,,,Represa Billings
2000-02-16,733.48,89.58944289042135,49.81038949870404,0.4,22.032751850742287,0.0,Represa Guarapiranga
2000-02-16,742.0,,,0.0,,,Represa Capivari
2000-02-16,744.89,,,,,,Represa Billings
2000-02-17,733.54,91.04275596255503,50.61840981729313,24.0,30.188753149695387,0.0,Represa Guarapiranga
2000-02-17,742.84,,,82.0,,,Represa Capivari
2000-02-17,745.01,,,,,,Represa Billings
2000-02-18,733.61,92.75158118884573,51.56849106973333,8.2,32.54606974873494,0.0,Represa Guarapiranga
2000-02-18,742.14,,,14.0,,,Represa Capivari
2000-02-18,745.2,,,,,,Represa Billings
2000-02-19,733.67,94.22769009712414,52.3891855320684,0.0,30.552593845814876,0.0,Represa Guarapiranga
2000-02-19,745.21,,,,,,Represa Billings
2000-02-20,733.75,96.21221797414402,53.49255333229351,0.0,36.169072650693124,0.0,Represa Guarapiranga
2000-02-20,745.18,,,,,,Represa Billings
2000-02-21,733.81,97.71290856805578,54.32691484396419,0.0,31.569104096200878,0.0,Represa Guarapiranga
2000-02-21,742.0,,,11.0,,,Represa Capivari
2000-02-21,745.19,,,,,,Represa Billings
2000-02-22,733.83,98.21548174529107,54.606338009261805,0.0,19.784819180964018,0.0,Represa Guarapiranga
2000-02-22,742.0,,,0.0,,,Represa Capivari
2000-02-22,745.2,,,,,,Represa Billings
2000-02-23,733.85,98.71922675715182,54.88641269707411,12.4,19.198382081721572,0.0,Represa Guarapiranga
2000-02-23,742.3,,,27.6,,,Represa Capivari
2000-02-23,745.23,,,,,,Represa Billings
2000-02-24,733.9,99.98371739067166,55.58945056561097,1.4,28.103308258331495,0.0,Represa Guarapiranga
2000-02-24,742.06,,,30.0,,,Represa Capivari
2000-02-24,745.29,,,,,,Represa Billings
2000-02-25,733.95,101.25553635997022,56.296562879168775,0.0,28.288126959474127,0.0,Represa Guarapiranga
2000-02-25,742.02,,,3.8,,,Represa Capivari
2000-02-25,745.28,,,,,,Represa Billings
2000-02-26,734.0,102.53468667261745,57.007751309911434,0.0,28.772980470454073,0.0,Represa Guarapiranga
2000-02-26,745.26,,,,,,Represa Billings
2000-02-27,734.02,103.04840022873873,57.29336835914862,0.0,19.84575875140364,0.0,Represa Guarapiranga
2000-02-27,745.26,,,,,,Represa Billings
2000-02-28,734.03,103.30569711925105,57.436421579703854,0.0,17.277973269818542,0.0,Represa Guarapiranga
2000-02-28,742.0,,,0.8,,,Represa Capivari
2000-02-28,745.25,,,,,,Represa Billings
2000-02-29,734.09,104.85564144314404,58.29816742813875,90.6,31.10717041542809,0.0,Represa Guarapiranga
2000-02-29,742.0,,,0.0,,,Represa Capivari
2000-02-29,745.33,,,,,,Represa Billings
2000-03-01,734.16,106.67726755253152,59.3109642834622,33.2,34.74173552531806,0.0,Represa Guarapiranga
2000-03-01,742.0,,,2.0,,,Represa Capivari
2000-03-01,745.39,,,,,,Represa Billings
2000-03-02,734.18,107.20037529171053,59.6018043578911,0.0,19.85558772197929,0.0,Represa Guarapiranga
2000-03-02,741.98,,,0.0,,,Represa Capivari
2000-03-02,745.37,,,,,,Represa Billings
2000-03-03,734.19,107.4623697862135,59.74746937596327,0.0,16.511543686376985,0.0,Represa Guarapiranga
2000-03-03,741.98,,,0.0,,,Represa Capivari
2000-03-03,745.36,,,,,,Represa Billings
