Data,Nível,Volume (hm³),Volume (%),Chuva (mm),Vazão natural (m³/s),Vazão a jusante (m³/s),Reservatório
2000-01-01,746.06,91.69405668899944,81.04564329305249,,9.36662124612118,,Represa Rio Grande
2000-01-02,746.14,93.05152651410542,82.24547040507316,,19.23145630909699,,Represa Rio Grande
2000-01-03,746.16,93.39274146371086,82.54706012735772,61.6,8.04924710191486,,Represa Rio Grande
2000-01-04,746.39,97.3702425520127,86.06265476937023,,50.145892225715684,,Represa Rio Grande
2000-01-05,746.45,98.42416888219806,86.99418883491023,44.5,16.167221414182432,,Represa Rio Grande
2000-01-06,746.49,99.13056695824261,87.61855303648747,8.8,12.330903657923034,,Represa Rio Grande
2000-01-07,746.53,99.83999953953831,88.24559934679712,13.7,12.52502524647802,,Represa Rio Grande
2000-01-08,746.54,100.01783284386953,88.40278090325651,,6.377255837166851,,Represa Rio Grande
2000-01-09,746.54,100.01783284386953,88.40278090325651,,4.01,,Represa Rio Grande
2000-01-10,746.55,100.1958564839256,88.56013069178917,12.9,6.230458796945234,,Represa Rio Grande
2000-01-11,746.54,100.01783284386953,88.40278090325651,,2.3995412030547665,,Represa Rio Grande
2000-01-12,746.52,99.66235643475511,88.08858590204835,,0.38568970932388336,,Represa Rio Grande
2000-01-13,746.69,102.70824932268698,90.78075982714186,,39.64938990661887,,Represa Rio Grande
2000-01-14,746.76,103.97856328943175,91.90355247408701,,19.29270794843479,,Represa Rio Grande
2000-01-15,746.81,104.89172875253551,92.71067220531732,,15.219044711849145,,Represa Rio Grande
2000-01-16,746.84,105.44195576152653,93.19700145621019,,10.718368159618233,,Represa Rio Grande
2000-01-17,746.88,106.17831533506192,93.8478477322626,,12.672680249252261,,Represa Rio Grande
2000-01-18,746.89,106.36289251961516,94.01099000341408,132.9,6.646310006403171,,Represa Rio Grande
2000-01-19,746.89,106.36289251961516,94.01099000341408,0.0,4.37,,Represa Rio Grande
2000-01-20,746.94,107.2887092713439,94.82929183152311,12.0,14.985471663527154,,Represa Rio Grande
2000-01-21,746.97,107.8465491027377,95.32234982919834,0.0,10.836479530020746,,Represa Rio Grande
2000-01-22,746.98,108.03288819845999,95.48704940110933,,6.676702496785752,,Represa Rio Grande
2000-01-23,746.98,108.03288819845999,95.48704940110933,,4.07,,Represa Rio Grande
2000-01-24,746.97,107.8465491027377,95.32234982919834,,2.033297503214248,,Represa Rio Grande
2000-01-25,746.96,107.66040634484777,95.15782379444454,,2.4355699318295683,,Represa Rio Grande
2000-01-26,746.98,108.03288819845999,95.48704940110933,48.3,8.431132564956183,,Represa Rio Grande
2000-01-27,747.13,110.8516327847331,97.97845371369353,19.7,36.80435863742028,,Represa Rio Grande
2000-01-28,747.17,111.61082632735632,98.64948225433842,1.0,13.186962298879891,,Represa Rio Grande
2000-01-29,747.17,111.61082632735632,98.64948225433842,0.0,4.36,,Represa Rio Grande
2000-01-30,747.15,111.23083168462864,98.31361631733192,0.0,-0.5580861426814909,,Represa Rio Grande
2000-01-31,747.1,110.28432390587551,97.47702630723884,0.0,-6.734951142976041,,Represa Rio Grande
2000-02-01,747.07,109.71879890877632,96.9771756206926,12.0,-2.1704282071665375,,Represa Rio Grande
2000-02-02,747.05,109.34277135942664,96.64481607926322,5.8,-0.17817071006581298,,Represa Rio Grande
2000-02-03,747.02,108.78021082200485,96.14758559025483,0.0,-2.063117331270698,,Represa Rio Grande
2000-02-04,746.97,107.8465491027377,95.32234982919834,0.0,-6.354269898925343,,Represa Rio Grande
2000-02-05,746.96,107.66040634484777,95.15782379444454,0.0,2.456569931829568,,Represa Rio Grande
2000-02-06,746.96,107.66040634484777,95.15782379444454,0.0,4.193,,Represa Rio Grande
2000-02-07,746.93,107.10315467050629,94.66528565125478,18.1,-2.2496721567301687,,Represa Rio Grande
2000-02-08,746.9,106.54766490360306,94.17430480552696,5.3,-2.1042797095280257,,Represa Rio Grande
2000-02-09,746.86,105.80974599801483,93.522080282357,0.0,-4.3357280739378545,,Represa Rio Grande
2000-02-10,746.9,106.54766490360306,94.17430480552696,14.5,12.695728073937854,,Represa Rio Grande
2000-02-11,746.94,107.2887092713439,94.82929183152311,11.7,12.99990240440788,,Represa Rio Grande
2000-02-12,746.97,107.8465491027377,95.32234982919834,0.0,10.627179530020745,,Represa Rio Grande
2000-02-13,746.99,108.21942377501449,95.65192263657076,0.0,8.247679077277704,,Represa Rio Grande
2000-02-14,747.03,108.96753375500036,96.31315474660327,48.6,12.751680323910529,,Represa Rio Grande
2000-02-15,747.02,108.78021082200485,96.14758559025483,0.0,2.2909104977371095,,Represa Rio Grande
2000-02-16,746.99,108.21942377501449,95.65192263657076,1.6,-2.300090821647638,,Represa Rio Grande
2000-02-17,747.12,110.66233137432019,97.81113584013458,55.0,32.56539351048262,,Represa Rio Grande
2000-02-18,747.27,113.52277661850692,100.33939812114541,7.2,37.420005141050176,,Represa Rio Grande
2000-02-19,747.3,114.10026857495849,100.84982604632626,0.0,11.227934681152394,,Represa Rio Grande
2000-02-20,747.25,113.1387857055356,100.0,0.0,-6.911273951653874,,Represa Rio Grande
2000-02-21,747.2,112.18231286291535,99.1546021670149,0.3,-7.149287530326893,,Represa Rio Grande
2000-02-22,747.16,111.42072946525498,98.48146130474463,0.0,-4.3816226581061795,,Represa Rio Grande
2000-02-23,747.16,111.42072946525498,98.48146130474463,14.5,4.348,,Represa Rio Grande
2000-02-24,747.15,111.23083168462864,98.31361631733192,9.2,2.0321090205284857,,Represa Rio Grande
2000-02-25,747.15,111.23083168462864,98.31361631733192,0.6,4.5089,,Represa Rio Grande
2000-02-26,747.12,110.66233137432019,97.81113584013458,0.0,-1.9988647026441102,,Represa Rio Grande
2000-02-27,747.09,110.0956175576364,97.31023439139642,0.0,-2.4771876930993892,,Represa Rio Grande
2000-02-28,747.06,109.53068631888173,96.81090851015088,0.1,-2.1735560041049444,,Represa Rio Grande
2000-02-29,747.03,108.96753375500036,96.31315474660327,0.0,-2.1560694893677557,,Represa Rio Grande
2000-03-01,747.01,108.59308494339787,95.98219060440621,0.0,-0.5286982824362392,,Represa Rio Grande
2000-03-02,746.97,107.8465491027377,95.32234982919834,0.0,-4.211561118751994,,Represa Rio Grande
2000-03-03,746.95,107.47445978194602,94.99347117059219,0.0,0.0844106389852648,,Represa Rio Grande
2000-03-04,746.91,106.73263262878105,94.3377922638946,,-4.2230624208909315,,Represa Rio Grande
2000-03-05,746.88,106.17831533506192,93.8478477322626,,-2.195209418045404,,Represa Rio Grande
2000-03-06,746.84,105.44195576152653,93.19700145621019,,-4.498880249252261,,Represa Rio Grande
2000-03-07,746.81,104.89172875253551,92.71067220531732,,-2.1902681596182347,,Represa Rio Grande
2000-03-08,746.84,105.44195576152653,93.19700145621019,43.4,10.246968159618234,,Represa Rio Grande
2000-03-09,746.85,105.6257535627872,93.35945485370291,0.0,6.395889366442904,,Represa Rio Grande
2000-03-10,746.83,105.25835245325435,93.0347199652721,0.0,0.1656723433697973,,Represa Rio Grande
2000-03-11,746.8,104.70870807891026,92.54890568777523,,-2.028624703056522,,Represa Rio Grande
2000-03-12,746.77,104.16080908114235,92.06463409660408,,-2.398423585276808,,Represa Rio Grande
