Data,Volume (hm³),Volume (%),Chuva (mm),Vazão natural (m³/s),Vazão a jusante (m³/s)
2000-01-01,59.15017057908699,66.59459495518819,72.3,16.968092803417672,19.17
2000-01-02,59.62618667539209,67.13052069834735,10.8,24.67944555908683,19.17
2000-01-03,61.35110435495153,69.07253021542417,16.7,40.38432499490092,20.42
2000-01-04,65.34775346470997,73.57218298120128,25.0,66.49751284442635,20.24
2000-01-05,69.64488241961226,78.41013288769074,34.0,69.98528882988762,20.25
2000-01-06,71.47712080506608,80.47297010263166,13.0,41.3464627946044,20.14
2000-01-07,72.09237010963261,81.16565243698415,0.0,27.300941025075605,20.18
2000-01-08,73.01952013000846,82.20949017177259,7.5,29.58090301360935,18.85
2000-01-09,73.32971832668409,82.5587287802365,36.0,22.490256905967918,18.9
2000-01-10,73.84799938928336,83.14223880394125,16.2,26.14862340971379,20.15
2000-01-11,74.47206665528938,83.8448488961454,6.0,27.363000763958595,20.14
2000-01-12,74.47206665528938,83.8448488961454,1.2,20.13,20.13
2000-01-13,74.36789347045124,83.72756485483882,0.1,19.05429184215109,20.26
2000-01-14,74.26378517225385,83.61035386656856,0.0,18.825042844937634,20.03
2000-01-15,74.15974168945104,83.49321585112166,4.0,17.675793023115645,18.88
2000-01-16,75.09847249323502,84.55009188440997,3.2,29.624939858610915,18.76
2000-01-17,75.20310193859041,84.66788960951564,42.4,21.270988950872518,20.06
2000-01-18,74.78497626259923,84.19714016348037,2.9,15.130582453805815,19.97
2000-01-19,74.57630479941145,83.96220607227404,0.0,17.61482102791917,20.03
2000-01-20,74.68060797732323,84.0796364671076,3.2,21.067212707312365,19.86
2000-01-21,74.68060797732323,84.0796364671076,0.0,18.91,18.91
2000-01-22,74.36789347045124,83.72756485483882,0.0,13.980619133425947,17.6
2000-01-23,73.95184887060896,83.25915840159377,0.0,12.794668983306941,17.61
2000-01-24,73.43324593733996,82.6752859977527,0.0,12.927651235312569,18.93
2000-01-25,73.12285549612716,82.32583094955649,0.0,15.337518041518482,18.93
2000-01-26,74.57630479941145,83.96220607227404,11.4,35.7923298991237,18.97
2000-01-27,76.25300952699035,85.84993473137015,35.7,38.33630471734847,18.93
2000-01-28,77.30953777069226,87.03943376001574,0.6,31.138336153957233,18.91
2000-01-29,77.30953777069226,87.03943376001574,0.0,18.29,18.29
2000-01-30,76.99187976540998,86.68179647868682,0.0,15.143402716640246,18.82
2000-01-31,77.30953777069226,87.03943376001574,0.0,23.656597283359755,19.98
2000-02-01,78.05308610806242,87.87656237472639,32.8,28.56588353437682,19.96
2000-02-02,78.15957652591169,87.99645528752534,2.3,22.01252798436658,20.78
2000-02-03,78.26613447256386,88.1164242280556,2.5,22.383309567733495,21.15
2000-02-04,78.26613447256386,88.1164242280556,0.0,20.08,20.08
2000-02-05,78.9069043258205,88.83783903412225,22.2,27.496317746025955,20.08
2000-02-06,79.01393701462075,88.95834246611298,0.8,21.318804268521358,20.08
2000-02-07,78.9069043258205,88.83783903412225,0.0,19.78119573147864,21.02
2000-02-08,78.69304299354553,88.59706189586555,0.9,18.64475309866929,21.12
2000-02-09,79.01393701462075,88.95834246611298,0.0,24.87405116985207,21.16
2000-02-10,79.01393701462075,88.95834246611298,5.0,20.76,20.76
2000-02-11,78.9069043258205,88.83783903412225,3.0,19.87119573147864,21.11
2000-02-12,78.79993967525661,88.71741220341174,2.3,18.84198321106602,20.08
2000-02-13,79.01393701462075,88.95834246611298,1.9,22.556821057455338,20.08
2000-02-14,79.33544406527653,89.32031321960442,7.3,24.84114641962711,21.12
2000-02-15,79.33544406527653,89.32031321960442,3.5,21.12,21.12
2000-02-16,79.98030518367887,90.0463342025014,46.8,28.563670351878844,21.1
2000-02-17,83.68175168521702,94.21363123824963,9.5,63.890815990024976,21.05
2000-02-18,87.3530992725864,98.34704122045201,0.0,66.31244892788636,23.82
2000-02-19,88.14209916209802,99.23534175360874,0.0,38.361943165643694,29.23
2000-02-20,87.69079838506877,98.72724190951716,0.0,24.856611376976318,30.08
2000-02-21,87.0160634946078,97.96758735074793,0.0,22.2705683974425,30.08
