Data;N’vel (m);Volume (hm_);Volume (%);Q Jusante (m_/s);Q Natural (m_/s);Chuva (mm)
01/07/2023;639,07;78,58621421;88,47678803;15,82;23,06680655;0,2
30/06/2023;639,04;78,26613447;88,11642423;15,85;18,78714804;2,8
29/06/2023;639,05;78,37276002;88,23646927;15,55;16,45056541;0
28/06/2023;639,07;78,58621421;88,47678803;16,21;17,56576559;0,2
27/06/2023;639,09;78,79993968;88,7174122;11,94;15,71946;0,2
26/06/2023;639,09;78,79993968;88,7174122;11,96;16,96256011;0,2
25/06/2023;639,08;78,69304299;88,5970619;11,97;18,43698365;0
24/06/2023;639,06;78,47945324;88,35659051;14,67;19,47107524;0,2
23/06/2023;639,05;78,37276002;88,23646927;18,73;18,13610111;0,2
22/06/2023;639,08;78,69304299;88,5970619;21,15;19,14551619;0
21/06/2023;639,12;79,12103782;89,07892259;21,42;19,30743882;0
20/06/2023;639,16;79,55012365;89,56201159;21,4;18,54170092;0,4
19/06/2023;639,21;80,08802232;90,16760823;22,87;20,53392839;0
18/06/2023;639,25;80,51958009;90,65348028;23,41;22,0029942;0
17/06/2023;639,29;80,95224415;91,14059785;24,03;27,95588;0
16/06/2023;639,29;80,95224415;91,14059785;21,61;35,91362355;11,8
15/06/2023;639,2;79,98030518;90,0463342;23,13;34,34899227;11,4
14/06/2023;639,13;79,22820681;89,19957948;23,57;24,92501809;19,4
13/06/2023;639,14;79,33544407;89,32031322;22,1;15,98980351;3,8
12/06/2023;639,21;80,08802232;90,16760823;22,35;20,23240839;0,2
11/06/2023;639,25;80,51958009;90,65348028;22,31;17,83885273;0,2
10/06/2023;639,31;81,1689925;91,38462536;22,33;18,25699965;0
09/06/2023;639,37;81,8209099;92,11859071;22,34;18,45214634;0,4
08/06/2023;639,42;82,3660994;92,73239577;22,29;19,53169828;0
07/06/2023;639,47;82,9130487;93,34818211;23,76;19,07325634;0,2
06/06/2023;639,53;83,57172374;94,08975558;23,48;19,0129493;0
05/06/2023;639,59;84,23296201;94,83421488;23,17;19,35482106;0,2
04/06/2023;639,64;84,78596339;95,45681499;23,17;19,98827476;0
03/06/2023;639,69;85,34076503;96,08144194;20,84;23,57058722;0
02/06/2023;639,7;85,45194219;96,20661146;21,24;27,00910785;0,6
01/06/2023;639,68;85,22966023;95,9563539;21,31;27,98238743;3,8
31/05/2023;639,65;84,8967794;95,5815779;15,56;25,94088167;10,2
30/05/2023;639,59;84,23296201;94,83421488;14,99;22,53122256;1,4
29/05/2023;639,55;83,79185091;94,33758715;12,44;16,36847655;12,4
28/05/2023;639,54;83,68175169;94,21363124;14,49;17,92138;0
27/05/2023;639,54;83,68175169;94,21363124;15,32;18,04066345;0,2
26/05/2023;639,55;83,79185091;94,33758715;15,86;17,91964768;0
25/05/2023;639,56;83,90202148;94,46162338;15,9;18,58520102;0
24/05/2023;639,57;84,01226347;94,58574003;15,5;17,04294874;0,2
23/05/2023;639,59;84,23296201;94,83421488;15,78;18,55285602;0,2
22/05/2023;639,6;84,3434187;94,95857325;16,1;18,38464596;0
21/05/2023;639,61;84,45394712;95,08301237;17,52;19,84843507;0
20/05/2023;639,62;84,56454732;95,20753231;17,44;18,47040402;0
19/05/2023;639,64;84,78596339;95,45681499;17,37;19,25787726;0
